-10	-5	-5	-5	3115	-6	-4	-5	-5	-5	-6	-4	-5	729	2899	-6	3391	2781	51634	-3670	-6	-2785	-3632	-2922	-2974	-6	-4	-5	-5	-5	-5	-6	-4	-2404	-2897	2892	2160	-7956	2727	3102	2409	4440	-102276	-13164	-33519	3069	3027	3747	26586	-45744	67188	4104	2016	3108	-123864	-131904	3120	383292	1332	1944	-648
-5	-10	-5	-5	3336	-6	-5	-4	-5	-5	-6	-5	-4	733	3094	-6	3564	3058	56868	-4024	-6	-2980	-3984	-3268	-3143	-6	-5	-4	-5	-5	-5	-6	-5	-2560	-3149	3144	2436	-8727	2958	3441	2565	4950	-111420	-14190	-36102	3240	3375	4101	28494	-49452	73536	4404	2304	3444	-134736	-144288	3528	418248	1584	2160	-324
-5	-5	-10	-5	3452	-6	-5	-5	-4	-5	-6	-5	-5	713	3201	-6	3658	3115	58342	-4101	-6	-2961	-4126	-3312	-3211	-6	-5	-5	-4	-5	-5	-6	-5	-2601	-3275	3270	2532	-9072	3066	3492	2607	5127	-113799	-14412	-36705	3306	3417	4242	28824	-50280	75312	4416	2412	3528	-137580	-147456	3612	427356	1584	2304	-324
-5	-5	-5	-10	2934	-6	-5	-5	-5	-4	-6	-5	-5	567	2606	-6	3023	2394	48478	-3135	-6	-2430	-3262	-2783	-2623	-6	-5	-5	-5	-4	-5	-6	-5	-2079	-2728	2724	2205	-7659	2607	2670	2082	4179	-92004	-11817	-30585	2718	2889	3375	24156	-41724	60168	3540	1908	2988	-111744	-120228	3084	347868	1368	1980	0
3115	3336	3452	2934	-1871662	3370	2374	2983	2492	2293	3321	2881	2219	-418340	-1742747	3004	-2000274	-1719791	-31465675	2273766	3167	1669226	2242000	1796882	1771814	3184	2494	2417	2754	2639	2435	3285	2453	1455074	1759608	-1756959	-1329765	4846053	-1632360	-1928907	-1457769	-2748453	62303508	7940433	20136273	-1822857	-1853637	-2304324	-15891528	27570996	-41163300	-2491536	-1276728	-1898676	75316932	80382816	-1921320	-233336160	-853164	-1179576	334152
-6	-6	-6	-6	3370	-10	-4	-4	-4	-4	-5	-5	-5	735	3147	-5	3648	3027	56887	-4003	-5	-2948	-3993	-3235	-3218	-6	-5	-5	-5	-5	-4	-6	-5	-2515	-3137	3132	2394	-8667	2982	3345	2520	4944	-110931	-14208	-36360	3315	3342	4110	28668	-49728	72972	4416	2316	3480	-134520	-143988	3528	417456	1512	2232	-324
-4	-5	-5	-5	2374	-4	-8	-3	-3	-3	-5	-3	-4	466	2130	-5	2395	2029	39213	-2648	-5	-2026	-2713	-2271	-2129	-4	-4	-4	-4	-4	-4	-4	-4	-1757	-2200	2196	1809	-6201	2064	2295	1761	3471	-76305	-9756	-24918	2205	2355	2805	19680	-34056	50148	3000	1524	2424	-92292	-98868	2448	286524	1188	1512	-324
-5	-4	-5	-5	2983	-4	-3	-8	-3	-3	-5	-4	-3	718	2823	-5	3200	2808	49770	-3743	-5	-2737	-3648	-2850	-2864	-5	-3	-4	-4	-4	-4	-5	-3	-2441	-2815	2811	2055	-7683	2556	3183	2445	4356	-100851	-12867	-32334	2940	2934	3741	25554	-44280	66768	4152	1992	2940	-121668	-129096	2964	375624	1332	1764	-972
-5	-5	-4	-5	2492	-4	-3	-3	-8	-3	-5	-4	-4	552	2268	-5	2744	2160	41960	-2853	-5	-2201	-2827	-2379	-2361	-5	-4	-3	-4	-4	-4	-5	-4	-1844	-2338	2334	1776	-6453	2271	2424	1848	3561	-81093	-10401	-26727	2439	2466	2919	21204	-36480	53220	3132	1680	2568	-98412	-105444	2604	305640	1080	1692	-108
-5	-5	-5	-4	2293	-4	-3	-3	-3	-8	-5	-4	-4	444	2076	-5	2469	1936	38907	-2513	-5	-1876	-2616	-2198	-2074	-5	-4	-4	-3	-4	-4	-5	-4	-1585	-2182	2178	1722	-6078	2100	2145	1590	3315	-72927	-9297	-24129	2151	2280	2706	18966	-32964	47856	2676	1596	2364	-88548	-95736	2496	276552	1008	1656	324
-6	-6	-6	-6	3321	-5	-5	-5	-5	-5	-10	-4	-4	728	3035	-5	3460	2951	55115	-3899	-5	-2919	-3884	-3153	-3070	-6	-5	-5	-5	-4	-5	-6	-5	-2559	-3118	3114	2373	-8601	2877	3336	2562	4794	-108582	-13857	-35223	3165	3258	3999	27846	-48192	71616	4344	2196	3300	-131292	-140196	3372	406908	1512	2052	-540
-4	-5	-5	-5	2881	-5	-3	-4	-4	-4	-4	-8	-3	593	2664	-5	3056	2634	49163	-3459	-5	-2516	-3463	-2812	-2694	-5	-4	-4	-4	-4	-3	-5	-4	-2153	-2716	2712	2124	-7551	2535	2931	2157	4311	-95442	-12126	-30948	2772	2898	3558	24336	-42420	63024	3720	2028	3012	-115488	-124008	3072	359100	1368	1908	-108
-5	-4	-5	-5	2219	-5	-4	-3	-4	-4	-4	-3	-8	393	1941	-5	2290	1752	37362	-2261	-5	-1768	-2409	-2132	-1973	-4	-4	-4	-4	-4	-4	-4	-4	-1469	-2062	2058	1722	-5844	2058	1944	1473	3174	-68565	-8775	-23007	2049	2217	2499	18108	-31404	44724	2544	1500	2292	-83496	-90684	2460	261396	1044	1620	540
729	733	713	567	-418340	735	466	718	552	444	728	593	393	-101780	-398142	619	-459263	-397391	-7038713	530129	641	387551	511866	401707	407851	747	465	464	610	574	518	711	465	339950	394651	-394095	-287112	1075950	-363627	-448014	-340506	-614808	14235912	1816959	4572627	-418626	-413562	-524994	-3617052	6260820	-9423012	-580464	-283980	-421968	17187012	18244596	-419640	-53075592	-184932	-255060	128952
