18	9	-6106	12	6	9	12	-3647	-3798	12	6	9	8	10	-1477	8	-5771	-5817	12	-9163	-4098	-2632	-1643	2207	-2680	-5032	71	12	6	9	9	970	1629	8	10	9	9	-7243	-6859	-4856	-4379	-289	-1883	-4633	254	9	9	-2877	-10107	9	9	-6446	-8785	-735	-2074	-5707	451	12	6	9	8	10	2102	8	-404	-4337	8	434	-7231	-40	4725	-4203	-8022	-6067	418	8	10	9	9	-2293	3354	581	-2958	-3722	-4690	1255	-6045	9	9	-9728	-3592	-2169	-89209	1849	-1782	8	10	960	812	7238	-4252	-15264	6844	-1068	-272	-536	-712	2704	184	-232	-56	-168	-552	64	-3528	-4600	-5424	-5280	-5400	88896	-5544	512	-6272	-1328	-72	-3832	-5808	-2336	-3912	-6248	-30392	-4264	-2304	-4904	-4656	43568	-2560	-816	-4912	10624	-4448
9	18	-8261	12	9	6	12	-4180	-6356	12	9	6	8	9	-1818	8	-7140	-9217	12	-12248	-3884	-4416	-3416	1213	-4464	-6232	-2921	12	9	6	9	-13	-106	8	9	10	9	-8784	-9226	-7538	-6497	-6392	-1590	-8470	-751	9	6	-6363	-12981	9	10	-6372	-10409	-2670	-3032	-9271	-1997	12	9	6	8	9	480	8	-1830	-4051	8	-4862	-7051	-40	2233	-5013	-9714	-10228	-1495	8	9	10	9	-5844	1877	-1118	-2977	-6846	-4857	2164	-7322	9	10	-10393	-3829	-4044	-111027	5114	2221	8	9	-700	-1530	23582	-4764	-33300	20264	-2800	-2648	-312	-768	10832	24	-152	-416	-24	-376	-16	-2912	-5408	-6312	-5888	-6168	101552	-7248	248	-7928	-2952	104	-5472	-7512	-1160	-4792	-7472	-39344	-4936	-4056	-3136	-3520	49792	-3984	-2352	-9744	12960	-8320
-6106	-8261	4941890	-7201	-5030	-3768	-7337	2539169	4040788	-6640	-4939	-3897	-4484	-4955	1266543	-4313	4329513	5700130	-7419	7460778	2348075	2674225	2230729	-558366	2702537	3777124	2005612	-6361	-5826	-3678	-5492	121745	242700	-4457	-4841	-5809	-5356	5357596	5566285	4867693	4011313	4242585	1103005	5453343	533103	-5411	-2743	3939134	8005802	-4830	-5602	3801986	6225104	1925278	2024416	5819920	1397679	-6754	-4757	-3795	-4534	-4893	4036	-4141	1311574	2422076	-5123	3264701	4296558	23374	-1080018	3112561	5863855	6219448	1142506	-4658	-4769	-5683	-4861	3617065	-992843	856011	1833089	4205489	3035225	-1238352	4395798	-4897	-6052	6305362	2498861	2461851	68494841	-3415328	-2057338	-4905	-5207	600779	1462566	-16113068	2879492	21980032	-14202036	1870344	1963448	175552	457240	-7650624	7888	84456	232280	-17056	216224	29464	1728024	3255424	3830800	3582048	3737960	-60926528	4388480	-125376	4808280	1775448	-62520	3387248	4543832	685128	2942104	4520360	24318904	3018872	2409456	1870512	2109808	-30466448	2497088	1503296	6249360	-7878048	5059552
12	12	-7201	18	6	6	9	-4424	-5378	12	8	8	6	10	-1510	9	-6716	-7463	12	-10348	-3964	-3763	-2259	1861	-3802	-5860	-1435	12	9	9	6	418	1272	8	9	9	10	-8167	-8592	-5796	-5746	-2821	-2252	-6271	-162	9	9	-4620	-11526	9	9	-6758	-10128	-1533	-2843	-7309	-555	12	8	8	6	10	1709	9	-1409	-4476	9	-1816	-7027	-36	4276	-4525	-9481	-8040	-2	8	9	9	10	-3538	2872	-112	-3092	-4908	-4583	1700	-7119	9	9	-9968	-3616	-2647	-103700	2647	-1728	9	9	739	980	10710	-5120	-20188	9608	-2512	1364	-440	-776	2216	136	-152	-264	-152	-456	56	-3312	-5392	-6208	-6008	-6176	103608	-6624	384	-7336	-2480	72	-4752	-6920	-1960	-4704	-7096	-35144	-5072	-3656	-4256	-4152	48960	-2960	-912	-7888	12416	-6880
6	9	-5030	6	12	3	9	-2723	-4074	8	6	5	6	4	-1031	5	-4495	-5582	8	-7703	-2758	-2731	-2242	810	-2766	-3908	-1793	6	6	6	6	18	185	6	6	6	6	-6124	-5839	-5030	-4322	-3674	-1200	-5086	-370	6	3	-3864	-8293	6	7	-4225	-6714	-1943	-1928	-5854	-1117	8	6	5	6	4	345	5	-1187	-2764	5	-2760	-4512	-28	1993	-3628	-6405	-6439	-1035	6	6	6	6	-3200	1767	-706	-2129	-4112	-3442	1094	-4681	6	7	-6866	-2894	-2300	-73034	3066	2090	5	7	-397	-1700	16238	-3004	-22648	14964	-1628	-3016	-224	-464	9216	-64	-88	-208	24	-352	8	-1968	-3544	-4128	-3952	-4096	63728	-4672	256	-5160	-1832	-16	-3608	-4896	-880	-2976	-4736	-25280	-3184	-2448	-2464	-2416	32592	-2704	-1056	-6160	8416	-5120
9	6	-3768	6	3	12	9	-2150	-1714	8	5	6	6	7	-896	5	-3430	-3030	8	-5340	-2552	-1331	-579	1776	-1366	-3092	820	9	3	6	6	946	1247	5	7	6	6	-4094	-3805	-2220	-2101	1127	-872	-2256	322	3	6	-1103	-5808	7	6	-4157	-5281	310	-931	-2934	815	8	5	6	6	7	1893	5	279	-2838	5	1380	-4764	-28	3251	-2255	-4561	-3209	864	5	7	6	6	-1174	2213	888	-1724	-1944	-2798	1078	-3568	7	6	-6147	-1960	-1221	-49844	565	-3088	5	6	1006	2076	-1146	-2600	-3420	-1620	-156	1452	-400	-456	-2576	232	-248	64	-216	-328	16	-2400	-2744	-3232	-3040	-3256	55824	-3112	368	-3656	-448	-64	-2096	-3336	-1720	-2256	-3728	-17104	-2416	-1080	-3312	-3272	25584	-1184	-560	-1728	6176	-1984
12	12	-7337	9	9	9	18	-3919	-5536	12	8	8	9	9	-2225	6	-6599	-8055	12	-11080	-4008	-3532	-2876	1531	-3592	-5876	-1587	12	9	6	9	327	90	8	9	10	9	-8175	-7694	-6820	-5311	-4366	-1371	-7545	-423	9	6	-4777	-12216	9	10	-6465	-9352	-2146	-2924	-8109	-1038	12	8	8	9	9	812	6	-1150	-3969	9	-2933	-7472	-45	2501	-4620	-8628	-8516	-855	8	9	10	9	-5021	2057	-559	-2801	-5874	-5048	2022	-6581	9	10	-10451	-3867	-3498	-103475	4820	1705	9	9	-485	-1232	19920	-4508	-28560	17512	-2112	-2256	-424	-704	8712	120	-256	-216	-96	-376	-32	-3288	-4984	-6032	-5440	-5776	95992	-6488	272	-7280	-1952	-24	-5000	-6800	-1808	-4472	-6864	-36640	-4536	-2936	-3936	-4376	47648	-3504	-2448	-7904	12000	-6336
-3647	-4180	2539169	-4424	-2723	-2150	-3919	1471220	2047388	-3704	-3043	-2536	-2544	-2815	683008	-2723	2311172	2794132	-4232	3776866	1356800	1328053	1019571	-450312	1344054	2031466	783358	-3868	-3159	-2407	-2642	5061	-162454	-2668	-2839	-3139	-3302	2926713	2903918	2371101	2034567	1535468	746132	2610915	173674	-2890	-2239	1805851	4206427	-2874	-3031	2253057	3412899	873887	1128070	2841122	425009	-3912	-2715	-2400	-2416	-2991	-249963	-2499	632693	1458749	-2741	1129480	2474496	13158	-1043835	1654976	3204353	2973009	332372	-2628	-2679	-3251	-2850	1533128	-780241	279306	1066761	1952759	1766402	-620421	2428542	-2938	-3315	3569305	1442410	1091237	36935705	-1453868	-377210	-2757	-3038	68166	312252	-6438616	1678280	9644420	-5816484	952604	358524	133992	249816	-2610160	-22904	68608	92608	18088	138448	-920	1085048	1827016	2121208	2019176	2090344	-34596632	2310304	-99120	2561880	848936	-23968	1756392	2415272	600848	1629752	2483544	12859488	1711304	1215664	1383608	1418848	-17157008	1199088	537168	3082432	-4302976	2436864
-3798	-6356	4040788	-5378	-4074	-1714	-5536	2047388	3822620	-4476	-3974	-2476	-2818	-3098	1264822	-2956	3582008	5145830	-5928	6267096	1733536	2358912	2252360	-22230	2380980	3125874	2345852	-4421	-4990	-2047	-3862	493261	740891	-3009	-2726	-4603	-4110	4462741	4596395	4609321	3517770	4823747	963390	5294089	683634	-4334	-1119	3772947	6870563	-2954	-4047	2837739	4905847	2252106	2025336	5345248	1709405	-4876	-3618	-2016	-3118	-3010	682481	-2396	1508815	1716526	-3602	3831229	3299321	17190	-40407	2606281	4748254	5503747	1505180	-3337	-2762	-4379	-3130	3524743	-279005	1199496	1416579	3906506	2550832	-985824	3560799	-3026	-4947	5011493	2206973	2210124	58511643	-3703319	-3398841	-3718	-3638	1032805	2370540	-18079982	2299016	22832564	-16245356	1988916	2527372	80440	339272	-9024056	63288	36584	251344	-84008	111664	48392	1180480	2627160	3110256	2871576	2979904	-48256480	3685208	1864	4008432	1640760	-80024	2988648	3809016	312080	2482792	3690888	21067720	2496592	2105792	1130424	1460384	-25232784	2281808	1537696	6198336	-6534304	4579200
12	12	-6640	12	8	8	12	-3704	-4476	18	6	6	6	10	-1826	6	-6138	-6502	9	-9788	-3962	-2968	-2126	2122	-3010	-5472	-461	12	8	8	8	654	976	6	10	10	10	-7630	-7186	-5552	-4712	-1858	-1754	-5817	-41	8	8	-3639	-10883	10	10	-6505	-8960	-1129	-2437	-6734	-196	12	8	8	9	9	1627	9	-645	-4284	6	-864	-7347	-36	3879	-4397	-8162	-7067	68	8	10	9	9	-3361	2664	243	-2919	-4681	-4669	1752	-6342	10	9	-10032	-3687	-2643	-94486	3003	-1202	9	9	487	706	10256	-4456	-18424	8724	-1576	120	-488	-744	2824	208	-184	-120	-168	-432	24	-3536	-4880	-5704	-5376	-5568	94528	-5960	416	-6776	-1616	-8	-4296	-6336	-2256	-4120	-6448	-32864	-4408	-2568	-4560	-4672	45488	-2752	-1424	-6192	11264	-5216
6	9	-4939	8	6	5	8	-3043	-3974	6	12	3	6	4	-1047	6	-4557	-5265	9	-7331	-2782	-2692	-1925	1051	-2726	-4000	-1479	8	6	5	5	0	667	6	4	7	7	-6097	-5891	-4504	-4107	-2433	-1611	-4764	-241	5	5	-3569	-8232	7	7	-4556	-7028	-1693	-2160	-5463	-636	8	6	5	5	7	781	5	-1255	-3127	6	-1842	-4858	-28	2734	-3416	-6634	-5844	-455	5	6	7	6	-2545	2007	-448	-2271	-3579	-3646	1112	-4949	6	6	-7218	-3083	-1913	-74046	2260	86	5	7	181	-274	10908	-3440	-17544	10348	-1840	-456	-296	-464	4528	16	-192	-176	-24	-336	0	-2176	-3752	-4240	-4160	-4288	69960	-4624	264	-5144	-1768	64	-3496	-4840	-1288	-3192	-4984	-25304	-3512	-2544	-3064	-2864	34752	-2352	-528	-5984	8672	-4864
9	6	-3897	8	5	6	8	-2536	-2476	6	3	12	6	7	-1228	6	-3670	-3691	9	-5690	-2698	-1536	-936	1319	-1570	-3256	175	8	5	6	5	599	1230	6	7	4	7	-4716	-4116	-2913	-2570	403	-1353	-2968	189	5	6	-1489	-6505	7	4	-4501	-5589	-472	-1597	-3467	568	8	5	6	5	6	1416	5	-256	-2900	6	699	-4955	-28	3053	-2575	-5084	-3439	447	5	6	6	7	-1387	2131	362	-1996	-2230	-3395	968	-3999	6	6	-6621	-2519	-1343	-57341	1290	-1645	5	6	647	992	3274	-2884	-8360	3072	-720	664	-392	-440	168	200	-216	-8	-136	-328	64	-2464	-2984	-3544	-3376	-3552	59200	-3416	296	-3896	-680	-80	-2496	-3624	-1768	-2672	-4184	-19584	-2728	-1344	-3528	-3456	28992	-1536	-464	-2976	6848	-2432
8	8	-4484	6	6	6	9	-2544	-2818	6	6	6	12	4	-804	3	-3938	-4331	9	-6444	-2550	-2079	-1293	1255	-2118	-3434	-577	8	5	5	6	466	968	6	7	7	4	-5007	-5010	-3396	-3264	-985	-1206	-3464	5	5	5	-2517	-6894	7	7	-4197	-6242	-687	-1355	-4228	-69	6	6	6	6	6	1295	6	-537	-2862	6	-475	-4593	-30	2907	-2799	-5599	-4755	17	6	6	6	6	-1938	2126	181	-1995	-2864	-3138	1047	-4206	6	6	-6425	-2356	-1683	-60368	1254	-1492	6	6	587	896	5040	-2852	-10636	4172	-936	236	-280	-432	1416	72	-168	-88	-72	-368	16	-2104	-3112	-3640	-3520	-3696	61120	-3880	328	-4304	-1272	-16	-2800	-4040	-1216	-2664	-4352	-20832	-2880	-1960	-2872	-2768	29200	-1840	-544	-3856	7264	-3680
10	9	-4955	10	4	7	9	-2815	-3098	10	4	7	4	14	-1529	7	-4561	-4862	9	-7619	-3262	-1931	-1540	1620	-1966	-4026	28	10	6	6	6	600	943	4	8	8	8	-5892	-5135	-4099	-3199	-457	-1421	-4255	-10	6	7	-2337	-8419	8	5	-5301	-6778	-937	-1989	-4787	292	10	4	7	6	8	1234	6	-324	-3492	6	32	-6241	-30	3079	-3434	-6117	-4760	143	6	8	7	7	-2284	2199	151	-2445	-3378	-4149	1167	-4886	7	7	-8370	-3295	-2275	-71187	2404	-262	6	8	261	-6	9002	-3336	-15124	8140	-812	-1236	-432	-568	4136	208	-224	-64	-112	-336	56	-2904	-3584	-4208	-4016	-4168	68912	-4328	352	-4896	-840	40	-3056	-4560	-2008	-3144	-5080	-25080	-3280	-1664	-4040	-4040	35392	-2240	-1072	-3808	8320	-3168
-1477	-1818	1266543	-1510	-1031	-896	-2225	683008	1264822	-1826	-1047	-1228	-804	-1529	782710	-1167	1182538	1648642	-2109	2078116	678446	577387	802945	-6054	586540	1083440	606948	-2302	-1448	-369	-929	234083	305270	-376	-1226	-1675	-2055	1539379	1217012	1668903	926260	1284338	449419	1985685	244937	-1332	-473	1004493	2494918	-1330	-931	1165628	1498539	887463	950481	1778610	418937	-1928	-889	-630	-885	-1412	357805	-754	500247	667640	-769	985633	1564406	6196	87793	897212	1412363	1454799	512024	-613	-1164	-1663	-1244	1134353	25973	430599	549117	1284954	1258107	-356731	1200453	-1012	-1651	2148788	1085839	759513	20438252	-1617550	-1474568	-1282	-1411	487325	988872	-6671994	811472	8087672	-6071000	639924	934920	71328	113680	-3176160	-26392	52912	47512	-9704	10736	17800	593008	884504	1060408	943920	976408	-16764808	1136528	20008	1291400	270000	-26208	979176	1212288	382768	904232	1328320	7684232	860720	414680	787304	958520	-9663568	745200	650160	1963456	-2201408	1022848
8	8	-4313	9	5	5	6	-2723	-2956	6	6	6	3	7	-1167	12	-3933	-4169	9	-6380	-2842	-1930	-1212	1345	-1954	-3472	-242	8	5	6	5	435	1108	6	7	4	7	-5213	-4758	-3330	-3007	-426	-1307	-3560	36	5	6	-2139	-7102	7	4	-4645	-6126	-890	-1884	-4051	288	9	5	5	3	7	1242	6	-572	-3007	6	-183	-4964	-24	2932	-2916	-5697	-4174	204	5	6	6	7	-1809	2120	14	-2076	-2712	-3456	1134	-4433	6	6	-6969	-2740	-1751	-62914	1757	-886	3	7	370	512	6532	-3100	-12232	6076	-1048	-188	-376	-504	2480	152	-216	-80	-160	-304	80	-2416	-3328	-3800	-3648	-3784	62272	-3840	320	-4336	-1000	40	-2776	-4048	-1704	-2888	-4520	-21544	-3000	-1760	-3456	-3256	31088	-1888	-480	-3872	7488	-3232
-5771	-7140	4329513	-6716	-4495	-3430	-6599	2311172	3582008	-6138	-4557	-3670	-3938	-4561	1182538	-3933	3887310	5000360	-6857	6555866	2140850	2320993	1944425	-557968	2347432	3399404	1639901	-5954	-5157	-3529	-4660	113533	132024	-3976	-4239	-5347	-4962	4827411	4888806	4299580	3513168	3494075	1066823	4788771	423188	-4820	-2861	3373760	7169662	-4506	-5083	3502446	5545813	1692303	1869820	5100317	1109702	-6190	-4301	-3552	-4035	-4534	-68138	-3754	1136230	2218591	-4421	2637282	3955729	21324	-1134512	2781908	5239165	5376819	905633	-4244	-4304	-5160	-4460	3073473	-963685	688306	1667688	3657052	2810417	-1057203	3947507	-4424	-5491	5751607	2311040	2085045	61777180	-2980188	-1711912	-4608	-4789	464907	1252452	-13877264	2636952	19119956	-12395332	1664288	1570112	176632	407424	-6452216	-4976	79608	199784	-11880	199112	18248	1635856	2943288	3463984	3247840	3376472	-55285648	3911512	-117208	4308248	1519256	-50656	3015072	4067040	737560	2663088	4057840	21824920	2747648	2089784	1873136	2069440	-27798544	2176720	1271888	5516032	-7099040	4359168
