-12	-6	-6	-6	-6	4120857	-7	-5	-6	-6	-6	-6	-7	-5	-6	-6	-6	109090	-7	121706	114885	134375	98068	-4045727	-7	509	313	431	437	366	-7	288	105	118	201	81	-7	-5	-6	-6	-6	-6	-6	-7	-5	-6	273	504	189	86926	163968	109361	173082	41545	308	138824	130200	92379	155155	128009	357	94752	76951	66864	67942	139286	210	210	175	217	371	777	210	114275	136360	200963	87829	168168	4046532	205310	182602	159460	141827	-7112252	-7588329	52808917	59192	60221	64533	60417
-6	-12	-6	-6	-6	4239812	-7	-6	-5	-6	-6	-6	-7	-6	-5	-6	-6	112000	-7	125359	117957	137994	100959	-4158742	-7	496	307	424	423	359	-7	274	112	111	201	60	-7	-6	-5	-6	-6	-6	-6	-7	-6	-5	294	490	189	89257	168700	112469	178178	42910	315	142744	133959	95088	159642	132132	350	97489	79303	69013	69888	143584	224	217	189	224	378	749	217	117600	140119	206787	90272	172704	4159540	211190	187978	164248	145964	-7314482	-7804153	54310914	61201	62181	66346	61789
-6	-6	-12	-6	-6	4184039	-7	-6	-6	-5	-6	-6	-7	-6	-6	-5	-6	110850	-7	123411	116695	136638	99454	-4108201	-7	490	315	412	403	346	-7	268	92	104	222	88	-7	-6	-6	-5	-6	-6	-6	-7	-6	-6	273	511	168	88494	166593	111111	175805	42084	322	141260	132314	93625	157563	129696	371	96418	78022	67655	68964	141246	224	224	203	231	357	791	217	115913	138649	203952	89194	170835	4108993	208467	185255	161721	143794	-7221410	-7705061	53621288	59731	61103	65709	61593
-6	-6	-6	-12	-6	4201401	-7	-6	-6	-6	-5	-6	-7	-6	-6	-6	-5	111303	-7	124206	117222	136998	99912	-4126346	-7	489	321	425	438	352	-7	260	98	139	221	80	-7	-6	-6	-6	-5	-6	-6	-7	-6	-6	280	518	175	88620	167097	111496	176358	42308	294	141484	132636	94276	158165	130410	364	96523	78442	68215	69321	141834	238	224	175	217	357	770	224	116543	139041	205079	89509	171528	4127144	209405	186242	162652	144543	-7252609	-7737975	53850314	60417	61299	65660	61691
-6	-6	-6	-6	-12	4216014	-7	-6	-6	-6	-6	-5	-7	-6	-6	-6	-6	111933	-7	124569	117723	137580	100487	-4144896	-7	510	328	425	438	346	-7	288	91	97	215	73	-7	-6	-6	-6	-6	-5	-6	-7	-6	-6	287	518	182	88900	167482	111657	176918	42413	329	141792	133077	94584	158683	130760	371	96691	78785	68383	69538	142373	210	231	168	217	350	784	203	116970	139517	205919	89859	172242	4145694	210147	186746	163296	145236	-7281386	-7768488	54062631	60711	61201	66101	61838
4120857	4239812	4184039	4201401	4216014	-2521165969356	4346428	3461947	3538512	3531955	3409556	3394283	4032122	3523448	3521446	3610037	3628032	-66743073683	4140171	-74487599901	-70272051397	-82191679285	-59990987970	2475111765805	4142239	-294161408	-188065876	-249520681	-252891711	-209574143	4132600	-160973014	-57726019	-65505878	-123364891	-44104204	4145469	3413824	3394893	3476437	3494534	3543652	3431235	4130291	3422667	3395700	-167501040	-301411439	-109121782	-53178911296	-100299945179	-66892932176	-105898418192	-25419678025	-188163493	-84937767845	-79648190825	-56522675909	-94926249824	-78326860857	-217005530	-57971636219	-47091487905	-40918173296	-41570682475	-85212653141	-134758057	-131955579	-109348484	-133280406	-215297292	-459239613	-129234735	-69914458439	-83423200126	-122990322210	-53712684361	-102865848393	-2475586211630	-125625302824	-111725316577	-97589429196	-86757512163	4351239905222	4642518168253	-32308337834689	-36239456113	-36835088794	-39485753447	-36944969824
-7	-7	-7	-7	-7	4346428	-12	-5	-5	-5	-5	-5	-6	-6	-6	-6	-6	114923	-6	128431	121027	141632	103361	-4264476	-6	481	341	417	416	373	-6	259	104	110	200	73	-7	-6	-6	-6	-6	-6	-5	-7	-6	-6	287	490	196	91707	173012	115367	182707	43862	322	146566	137375	97412	163702	135114	364	100065	81200	70546	71645	147014	245	203	196	231	343	763	238	120498	143815	211897	92526	177205	4265275	216552	192640	168196	149541	-7499219	-8001406	55683600	62426	63651	68110	63651
-5	-6	-6	-6	-6	3461947	-5	-10	-4	-4	-4	-4	-6	-4	-5	-5	-5	91571	-6	102400	96440	112715	82310	-3397084	-6	412	271	352	364	313	-6	219	91	103	178	78	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	217	427	147	72919	137669	91784	145432	34937	252	116641	109319	77483	130263	107709	294	79632	64652	56210	57008	117124	196	168	147	189	301	651	182	96117	114499	168861	73724	141337	3397751	172571	153426	134253	119119	-5973534	-6373493	44354506	49735	50813	54194	50470
-6	-5	-6	-6	-6	3538512	-5	-4	-10	-4	-4	-4	-6	-5	-4	-5	-5	93730	-6	104281	98694	115588	84133	-3474014	-6	433	264	353	350	278	-6	240	70	82	164	71	-6	-4	-5	-5	-5	-5	-5	-6	-4	-5	224	434	161	74914	140931	94080	148680	35574	273	119462	111930	79373	133343	109599	315	81501	66024	57253	58429	119371	175	203	161	189	301	658	161	97930	117334	172473	75432	144340	3474681	176295	156786	136528	121667	-6107087	-6515999	45346413	50617	51499	55517	52332
-6	-6	-5	-6	-6	3531955	-5	-4	-4	-10	-4	-4	-6	-5	-5	-4	-5	93502	-6	104533	98422	115023	84073	-3467903	-6	405	250	360	358	292	-6	226	84	103	178	64	-6	-5	-4	-5	-5	-5	-5	-6	-5	-4	231	420	147	74326	140371	93597	148274	35658	252	118783	111454	79177	132902	109949	301	81095	65982	57449	58163	119483	189	189	154	175	315	630	189	98077	116704	172466	75236	144193	3468570	176008	156534	137004	121639	-6096202	-6504204	45264142	50960	51695	55223	51450
