-18326304	-10963916	-24341481	-12693707	-21232397	-24127911	-26486014	-27392485	-15145104	-31244399	-16058681	-30226964	-17261387	-24263932	-14668591	-22417850	-19549047	-20598327	-26570372	-24243207	-26437696	-23416385	-30222952	-13292423	-32728957	-15535889	-14521510	-32712251	-13899010	-15738808	-13297405	-28426002	-23513759	-35274427	-26422466	-30173518	-11155285	-30291084	-22833524	-15202253	-14069823	-16979642	-19432416	-17675660	-23036839	-19572415	-15712627	-18896596	-22886746	-13104735	-15390595	-18473994	37234326	28157188	32814650	53969890	-14920874	22055244	46047004	18220888	36079180	34610376	17565008	50267448	-244578208	-19194384	-117176096	-8466032	-245282744	6548880	-234629488	-3119840	-81101896	-9978840	-157094160	-6802528	-76467432	-12416056	-9061568	-321133544	-939024	-4721096	-157247504	-8368880	-13617200	-240017480	-815424	12268256	-236491272	2489960	-12811720	-230852536	-16856536	-132720	-233669080	-4606000	11196480	-5907032	6097120	2142968	-2636072	-239591256	-1357088	-9131448	-244358992	-1358400	-234281928	-233400840	-5304576	-229236560	-238095352	-238442856	-5141192	-466712528	-456960480	-831119904	-910697024	-897559008	-889463776	-897248608	-897254880	-903792128	-906280960	-18996352	-31714176	-14212928	7880832
-10963916	-9470032	-22320582	-7838415	-15629527	-19902521	-20849080	-22774765	-13571788	-22266061	-11360668	-25947148	-14717728	-18279842	-5606429	-17797711	-18828829	-16625703	-23661050	-17780570	-24098013	-14183268	-22702254	-11885719	-26797647	-13687550	-8310491	-25533451	-4684928	-8342489	-11657343	-22622568	-17531418	-28011267	-20385914	-25579876	-8703433	-22670446	-13890390	-12144973	-11669275	-16417354	-16732410	-13941658	-24790100	-17713761	-13271205	-16491063	-19859925	-12446058	-13591017	-14789352	18837550	23861178	21451852	39623058	-16743736	14457944	31848292	8946624	22844012	16948322	11671714	34293050	-178740640	-1503832	-92590336	-10402152	-183309344	7626464	-173614136	-4279272	-35163968	-8925704	-109120360	-6509064	-47982976	-11864704	-6806584	-219631968	-2592912	-4820304	-91774536	-4841288	-11681032	-178159088	514856	8524736	-171324304	5332592	-11014104	-167978656	-14679992	-300528	-170995048	-7475520	9580800	-6808304	8822200	4488048	778968	-178865680	-1420408	-4843664	-179733616	-2247464	-169892584	-173091848	-5706384	-163410784	-177281432	-173871560	-8131232	-345830096	-333090560	-595449120	-670966848	-658680288	-650034272	-657318176	-657309504	-664838080	-659159104	-20285312	-15847744	-14887232	7069888
-24341481	-22320582	-53588590	-17213973	-36246713	-46912261	-48821133	-54016878	-32597159	-50981732	-25844960	-61935881	-35013906	-42450802	-10372168	-41632001	-45527089	-39000040	-56340169	-40943352	-57801746	-31400163	-52990053	-28294453	-63527285	-32425497	-18318438	-60052202	-8233232	-17322409	-27625433	-53219448	-40596486	-66047769	-47644955	-60712898	-20345070	-52695308	-30679304	-27993814	-27589446	-39640636	-39652921	-32490336	-60865200	-42179965	-31058162	-39024884	-47433073	-29940921	-32449515	-34585691	39838320	57318088	48098610	91701706	-41008562	32375280	72845188	18632058	50856026	35687810	26604174	78859804	-411764992	1330320	-213293400	-26038408	-424686216	19191696	-400804368	-10657120	-69780576	-21460848	-250079312	-15713432	-106147920	-28890704	-16064528	-501571120	-6946496	-11860320	-201384040	-10882624	-27951320	-412127176	1610632	19507184	-394008880	14136488	-27949568	-386524216	-35378168	-828168	-394069472	-19097608	23046256	-17180848	22449960	11732096	3103152	-414024888	-3158584	-10084296	-414840232	-5442056	-390975992	-400093816	-13786952	-374624312	-410109432	-400668496	-20782496	-799250848	-767005104	-1366462432	-1549003744	-1519417248	-1497974976	-1515488992	-1515458912	-1534473824	-1517775456	-50225984	-33464384	-36748992	16981696
-12693707	-7838415	-17213973	-9011492	-14809065	-17045539	-18608488	-19145064	-10570210	-22020242	-11404446	-21115782	-12098443	-17055861	-10323871	-15837772	-13844032	-14557727	-18891655	-17100028	-18683479	-16356665	-20993768	-9452240	-22785211	-11108765	-9990952	-22741773	-9645799	-11310035	-9487416	-19866113	-16523416	-24547392	-18509775	-21221563	-7812994	-21189068	-16032461	-11062211	-9877075	-12053154	-13779152	-12510730	-16318363	-13975806	-11331036	-13494044	-16002876	-9308564	-10838900	-13070044	25806786	19321478	23145362	37788594	-10808160	15616652	32152890	12693814	25421498	23795040	12177470	34645928	-172179024	-12427424	-84888144	-5979448	-172398224	4456640	-165300016	-2336832	-56488408	-6955312	-109514808	-4828744	-54192120	-8627528	-6172160	-223856640	-630888	-3258448	-109621256	-5633608	-9466432	-168716768	-486112	8595624	-166415144	1691400	-7904280	-162561008	-11608152	-75488	-164444632	-3346120	7685712	-3980792	4342248	1576848	-1828808	-168588960	-1178392	-6547592	-171850320	-1218536	-164738016	-164212000	-3917184	-161193440	-167545752	-167623096	-3704720	-328397424	-321589424	-584516448	-640625920	-631340800	-625730208	-631266528	-631272320	-635668000	-637367712	-13190208	-21983872	-9892160	5513920
-21232397	-15629527	-36246713	-14809065	-27688352	-33574069	-35851881	-38462527	-22321740	-39745699	-20263697	-43331312	-24620289	-31949521	-13458159	-30426909	-30070850	-28243612	-38736180	-31343547	-39242866	-27203621	-39932846	-19419609	-45587383	-22423174	-16471587	-44251146	-12168549	-16749690	-19178839	-38827107	-30789531	-48191642	-35374684	-42781300	-15033896	-39814457	-26509386	-20463350	-19675393	-26181165	-27723986	-23882910	-38213676	-28778073	-21993494	-27130281	-33009700	-19924640	-22405125	-25183375	39418230	40320054	39616356	70073818	-25282282	26607052	57737590	18932022	42764830	36173928	21584054	62907732	-315893848	-12139256	-156796424	-15460536	-321403616	11639064	-305254472	-6056816	-79271824	-14703408	-197699472	-10415680	-90011312	-19140560	-12075768	-400403192	-3301128	-7630688	-179093912	-9643320	-19551096	-313183400	50408	15419184	-303885536	7061872	-19415056	-297368144	-24529720	-395720	-302079336	-10296448	16138624	-10457848	12536536	5873480	-525568	-313578472	-2034968	-9720104	-316985168	-2891000	-301323200	-304226184	-8651256	-291793544	-311112448	-307739448	-11283816	-608036000	-589341856	-1060994624	-1182444512	-1162608064	-1149138624	-1160865120	-1160859424	-1172431424	-1167634400	-31614976	-33386048	-23299648	11598400
-24127911	-19902521	-46912261	-17045539	-33574069	-42200920	-44426868	-48350267	-28618877	-47856652	-24379861	-54965423	-31159750	-39125514	-13062817	-37849994	-39408952	-35294298	-49755945	-38092171	-50675906	-31092488	-48720225	-24964525	-57038179	-28751981	-18423567	-54612241	-11216415	-18396274	-24520623	-48210785	-37541844	-59789808	-43568561	-54149701	-18551561	-48596814	-30386992	-25626531	-24740541	-34312006	-35295472	-29624232	-51442199	-37140933	-27920952	-34684086	-41995561	-26027606	-28657684	-31391600	42365362	50808106	46486168	85085448	-34507366	31296710	68819562	20153178	49691972	38372098	25396260	74499624	-383306384	-6348504	-195629584	-21443856	-392440120	15865880	-371772544	-8686952	-80611040	-18843104	-235844752	-13629296	-104337800	-24953400	-14684768	-475374568	-5181488	-10086584	-202140448	-10793816	-24777872	-381638848	818760	18421176	-367733544	10774168	-24131312	-360337432	-31171304	-617592	-366649336	-15121312	20384824	-14206120	18018944	9018080	1103024	-382847184	-2818048	-10688832	-385281632	-4414992	-364699632	-370697976	-11743360	-351349568	-379539704	-373066632	-16494352	-740738304	-714502304	-1279582656	-1438000160	-1412218944	-1394149600	-1409425856	-1409408608	-1425126080	-1414532768	-42353472	-35765120	-31116736	14912576
-26486014	-20849080	-48821133	-18608488	-35851881	-44426868	-47046242	-50898248	-29894890	-51276515	-26134785	-57650225	-32703788	-41636567	-15394118	-40027335	-40806137	-37254004	-51935374	-40671434	-52775137	-34056649	-51916104	-26054344	-60155451	-30041879	-20364119	-57916029	-13553356	-20508815	-25631858	-51007360	-40010332	-63281692	-46245263	-56855842	-19678815	-51778545	-33252849	-27031663	-26050750	-35518484	-36985455	-31362007	-52720415	-38704997	-29294523	-36281593	-44007314	-27001024	-29959938	-33175238	47660062	53416712	50365512	90858212	-35193446	33883338	74063700	22776608	54071072	43425676	27475444	80366794	-409477248	-10497680	-206731232	-21716072	-418133264	16173280	-396545432	-8697568	-93017320	-19682184	-253689584	-14117072	-113615600	-25881328	-15663064	-512385784	-5005496	-10402296	-222618816	-11926456	-25993792	-406959808	552928	19799704	-393281016	10522264	-25388616	-385143344	-32662752	-602456	-391641320	-14986496	21408168	-14495640	18005368	8789104	415064	-407939648	-2860664	-11916576	-411298144	-4323240	-390005488	-395330008	-12009584	-376536232	-404546448	-398688000	-16377344	-790007200	-763561360	-1370441920	-1534751904	-1507973344	-1489438464	-1505294560	-1505280416	-1521322144	-1512110176	-43446848	-40279424	-31972288	15571264
-27392485	-22774765	-54016878	-19145064	-38462527	-48350267	-50898248	-55684192	-33112530	-54430741	-27610569	-63401594	-35900312	-44682334	-14142823	-43268506	-45474006	-40381662	-57109611	-43374049	-58366211	-35158311	-55964202	-28665986	-65737312	-32906181	-20943935	-62822712	-12157072	-20223992	-28091390	-55402614	-42883029	-68806385	-49916768	-62250026	-21290431	-55619971	-34258717	-28918629	-28438843	-39595793	-40474283	-33855027	-59695856	-42609914	-31764744	-39704272	-48464125	-29995876	-33014088	-35899257	47520428	58990178	52540774	97215656	-39827004	35287748	78473360	22476338	56059360	43189198	28979356	85426260	-436805592	-6730208	-221055184	-25034096	-448159792	18688528	-423848864	-10016600	-89072728	-21804616	-269244432	-15707040	-117287176	-28983192	-17014720	-542227256	-6236688	-11787168	-228282008	-12423616	-28631456	-435633616	983168	20969528	-418933200	12868904	-29082224	-410492520	-36176304	-744944	-417940192	-17726872	23680448	-16768128	21105736	10614600	1619320	-436943688	-3009968	-11759736	-439451968	-4891656	-415648008	-422944504	-13426072	-400025032	-433096696	-425375584	-19342944	-845031536	-814244192	-1457148640	-1640128992	-1610394112	-1589313184	-1606877408	-1606855616	-1625417984	-1612289760	-49422400	-40045696	-36235520	17224128
-15145104	-13571788	-32597159	-10570210	-22321740	-28618877	-29894890	-33112530	-19984016	-31243931	-15777012	-37929135	-21436963	-25985629	-6537346	-25413747	-27669574	-23793799	-34251417	-25052958	-35200288	-19436593	-32664748	-17209310	-39015749	-19667446	-11480812	-36945354	-5349500	-10558182	-16785100	-32668242	-24895329	-40593826	-29216235	-37089685	-12503738	-32356505	-18909494	-16854246	-16886897	-24110106	-24138883	-19865639	-36988387	-25614530	-18795867	-23705471	-29059542	-18215702	-19827247	-21128118	24962234	35362950	29510504	56295936	-24732214	19793144	44877102	11644962	31229936	22562830	16446728	48918212	-252295696	-462904	-128722920	-15794192	-260290128	11782040	-245444816	-6352512	-44084592	-13152128	-154271992	-9538872	-65040024	-17684128	-9988416	-309502256	-4231840	-7282688	-125021504	-6894664	-17142120	-252630656	878456	11987744	-241530496	8582920	-17868592	-236849520	-21770112	-498160	-241510008	-11505360	14224152	-10566456	13553400	7022952	1786296	-253624808	-1766592	-6144384	-254289072	-3092112	-239751096	-245155400	-8247816	-229838568	-251245968	-245693624	-12526560	-489693216	-470092992	-838148416	-949324928	-931311104	-918229952	-928848704	-928832352	-940532448	-930569248	-30669056	-20921920	-22405632	10390464
-31244399	-22266061	-50981732	-22020242	-39745699	-47856652	-51276515	-54430741	-31243931	-57734432	-29610823	-61053492	-34747706	-46016524	-21282996	-43631403	-42026465	-40411601	-54828517	-45407960	-55182269	-40202735	-57092778	-27474674	-64511395	-31902067	-24271998	-62972388	-19339284	-25737637	-27223760	-55269649	-44347281	-68484859	-50644787	-60623832	-21472422	-57202328	-39319589	-29826740	-27938569	-36564684	-39398626	-34274719	-52612137	-40737701	-31628822	-38607230	-46472218	-27954056	-31567428	-36090448	59395250	56338492	58328564	101029888	-35012520	39295824	83792686	28763434	63240816	54425636	31365332	90704926	-457185424	-20320840	-228448016	-20888472	-463222736	15573312	-441188528	-8297120	-122388672	-20572656	-286344704	-14580680	-133663080	-26506640	-17064432	-581195016	-4013488	-10426360	-265678440	-13997584	-27477464	-451824592	-150840	22401840	-440215480	8843048	-25485848	-430651160	-34230360	-490760	-437015696	-13569904	22514888	-13950048	16665976	7555080	-1670328	-452334864	-3147264	-14937384	-458060192	-4171288	-436250584	-439238704	-12190520	-423460760	-448950144	-445132800	-14887336	-878021296	-853077328	-1538941312	-1708565568	-1680773088	-1662386208	-1678887744	-1678882528	-1694312032	-1689972960	-43119168	-50399936	-31938048	16291968
-16058681	-11360668	-25844960	-11404446	-20263697	-24379861	-26134785	-27610569	-15777012	-29610823	-15242634	-30915006	-17616171	-23519689	-11246141	-22278007	-21255829	-20621993	-27882129	-23271149	-27965378	-20717324	-29042243	-13970354	-32700779	-16272382	-12463047	-31981218	-10204751	-13516111	-13868370	-28096910	-22663627	-34769796	-25811336	-30794350	-10932307	-29188059	-20309615	-15391829	-14199039	-18493725	-20059947	-17508374	-26447357	-20730685	-16212799	-19686411	-23525036	-14162831	-15999626	-18425315	30781480	28361362	30072798	51622238	-17692148	20295206	42900690	14967836	32653460	28149626	16051156	46231518	-234125536	-10705864	-117789352	-10416616	-236788496	7695872	-225846696	-4189552	-64007008	-10384472	-146442688	-7382368	-69168288	-13321984	-8614568	-297482440	-1903056	-5206248	-137057984	-7121464	-13890936	-231052096	-100648	11476816	-225500824	4251480	-12308664	-220602320	-17232648	-233424	-223751984	-6714664	11324424	-6878952	8263816	3704456	-1023968	-231337032	-1697448	-7840624	-234399736	-2189072	-223395656	-224712728	-6219896	-217039456	-229639576	-227855848	-7366792	-449223408	-436867712	-788624160	-874330752	-860267072	-851081280	-859453216	-859452160	-867055808	-865323680	-21539904	-26141440	-15993344	8235968
