-10202	-5328	-6345	-6536	-6330	-6546	-7215	-5248	-6328	-6533	-8457	-5236	-957	-5227	-5990	-5150	-1984	-1933	-4789	-8732	-5992	-8688	-8432	-7452	-4784	-1636	-7685	-7494	-7616	-7455	-48	3403	7348	11088	5697	7320	5708	7356	7354	6776	5691	8071	8105	7985	8117	12075	33774	102064	317870	939097	2816112	8448602	8448396	8448564	8448522	2817495	937947	302391	98262	31857	12	49455	41742	11205	891	279	-108	-135	234	2079
-5328	-3076	-3342	-3689	-3356	-3534	-3920	-2646	-3356	-3534	-4352	-2646	-428	-2631	-3015	-2783	-870	-983	-2651	-4582	-3096	-4580	-4567	-3986	-2664	-732	-4168	-3986	-4175	-4050	-2	2007	4440	6623	3854	4490	3771	4505	4522	4483	3771	4904	4921	4915	4935	7086	19800	59804	186229	550299	1650363	4951112	4951020	4951118	4951101	1650909	549696	177336	57711	18645	-6	28554	24075	6516	486	162	-99	54	153	1026
-6345	-3342	-4540	-3983	-4538	-3928	-4426	-3492	-4507	-4232	-6079	-3516	-892	-3504	-3858	-3035	-1482	-1214	-2897	-6107	-4263	-5791	-5386	-4559	-2864	-1352	-4696	-4439	-4688	-4470	-2	2178	5214	7162	3444	5009	3413	5021	5047	4079	3573	5663	5689	5710	5700	8103	22399	68358	213287	629364	1887395	5662605	5662504	5662603	5662587	1888350	628974	202497	65784	21537	-30	34008	28647	7884	504	-324	-909	-864	-333	-162
-6536	-3689	-3983	-4520	-3995	-4333	-4775	-3154	-3995	-4327	-5240	-3154	-486	-3133	-3684	-3503	-1081	-1187	-3251	-5481	-3706	-5457	-5453	-4897	-3271	-822	-5009	-4921	-4980	-4965	-33	2337	4950	7665	4295	5086	4202	5125	5132	5031	4202	5551	5582	5466	5604	8154	22765	68664	213675	631634	1894081	5682293	5682162	5682279	5682246	1894905	630708	203487	66150	21405	15	32814	27720	7407	612	378	117	297	396	1809
-6330	-3356	-4538	-3995	-4544	-3908	-4428	-3480	-4509	-4228	-6078	-3504	-900	-3492	-3849	-3042	-1473	-1211	-2906	-6114	-4260	-5784	-5392	-4547	-2876	-1357	-4687	-4421	-4685	-4464	-2	2184	5217	7170	3463	5012	3412	5024	5053	4103	3582	5678	5707	5731	5718	8115	22427	68470	213611	630340	1890325	5671393	5671295	5671395	5671377	1891272	629952	202827	65889	21579	-24	34011	28638	7875	495	-333	-936	-855	-342	-189
-6546	-3534	-3928	-4333	-3908	-4514	-4676	-3195	-3924	-4324	-5147	-3174	-373	-3195	-3669	-3342	-1066	-1184	-3111	-5313	-3713	-5474	-5314	-4944	-3116	-724	-5069	-5045	-5026	-4935	-33	2240	4880	7544	4136	5072	4245	5070	5071	4784	4144	5323	5349	5244	5331	7952	22245	66840	208377	615560	1845961	5537943	5537794	5537912	5537886	1846779	614736	198111	64422	20709	-81	32556	27657	7380	594	477	288	108	387	1782
-7215	-3920	-4426	-4775	-4428	-4676	-5356	-3750	-4439	-4530	-5950	-3723	-731	-3708	-4261	-3700	-1397	-1571	-3448	-6116	-4164	-6225	-6203	-5233	-3469	-1334	-5579	-5316	-5543	-5331	-30	2503	5304	7951	4351	5199	4302	5231	5235	5218	4212	5854	5881	5814	5898	8698	24410	73710	229151	677563	2031962	6095932	6095794	6095914	6095883	2032773	676734	218559	71130	23088	21	34392	28710	7839	612	189	-72	18	117	1647
-5248	-2646	-3492	-3154	-3480	-3195	-3750	-3054	-3479	-3172	-4767	-3039	-774	-3033	-3293	-2446	-1282	-1232	-2339	-4817	-3371	-4822	-4613	-3638	-2326	-1361	-3989	-3651	-3971	-3651	0	1748	3953	5466	2630	3619	2643	3625	3624	3271	2618	4247	4246	4303	4252	6288	17658	53720	167202	493878	1481247	4443904	4443822	4443897	4443891	1481811	493578	159246	51804	16902	-15	25446	21105	5886	378	-306	-612	-666	-360	108
-6328	-3356	-4507	-3995	-4509	-3924	-4439	-3479	-4482	-4212	-6041	-3503	-887	-3491	-3844	-3040	-1464	-1229	-2904	-6075	-4237	-5779	-5399	-4548	-2877	-1356	-4706	-4434	-4701	-4471	-2	2184	5201	7163	3481	4994	3440	5006	5033	4127	3590	5654	5681	5707	5692	8097	22401	68348	213208	629196	1886904	5661110	5661011	5661110	5661093	1887831	628800	202482	65787	21528	-30	33849	28485	7839	495	-315	-900	-837	-333	-135
-6533	-3534	-4232	-4327	-4228	-4324	-4530	-3172	-4212	-4502	-5529	-3193	-497	-3193	-3698	-3350	-1153	-1001	-3125	-5709	-3925	-5509	-5233	-4942	-3112	-722	-4878	-4889	-4845	-4859	-30	2249	5082	7653	3995	5267	4003	5284	5303	4581	4104	5595	5637	5531	5639	8173	22630	68441	213593	630527	1890681	5672337	5672199	5672316	5672283	1891725	629751	202695	65811	21321	-30	34356	29340	7794	603	288	-81	-81	288	1215
-8457	-4352	-6079	-5240	-6078	-5147	-5950	-4767	-6041	-5529	-8392	-4800	-1367	-4782	-5251	-4111	-2177	-1877	-3826	-8198	-5879	-7780	-7226	-5967	-3797	-2138	-6179	-5836	-6134	-5847	-33	2710	6285	8671	3673	5910	3626	5947	5974	4516	3829	6914	6966	6894	6987	10053	27766	84969	264851	781717	2344110	7032935	7032796	7032913	7032882	2345514	781101	251529	81609	26889	-96	41937	35046	9738	630	-441	-1368	-1287	-513	-108
-5236	-2646	-3516	-3154	-3504	-3174	-3723	-3039	-3503	-3193	-4800	-3036	-780	-3024	-3284	-2446	-1288	-1208	-2339	-4850	-3389	-4816	-4595	-3636	-2326	-1352	-3962	-3629	-3941	-3639	0	1748	3971	5478	2612	3637	2613	3648	3647	3250	2612	4275	4274	4330	4285	6306	17682	53840	167596	495005	1484598	4453978	4453898	4453971	4453965	1485183	494694	159576	51894	16944	-15	25614	21267	5922	378	-324	-648	-684	-360	54
-957	-428	-892	-486	-900	-373	-731	-774	-887	-497	-1367	-780	-440	-765	-785	-404	-501	-411	-373	-1239	-903	-1108	-1015	-505	-368	-698	-637	-457	-637	-508	0	264	635	566	-48	347	-113	362	366	110	-52	719	723	742	738	996	2734	8767	27080	80045	240053	720295	720296	720299	720297	240219	80097	25938	8412	2970	18	3813	2853	963	27	-369	-603	-495	-369	-567
-5227	-2631	-3504	-3133	-3492	-3195	-3708	-3033	-3491	-3193	-4782	-3024	-765	-3024	-3272	-2431	-1276	-1208	-2324	-4820	-3392	-4810	-4571	-3642	-2311	-1334	-3965	-3645	-3950	-3635	0	1733	3953	5463	2594	3639	2619	3640	3641	3214	2606	4242	4243	4297	4244	6276	17601	53558	166780	492527	1477179	4431721	4431639	4431714	4431708	1477764	492231	158745	51627	16839	-30	25584	21267	5922	378	-297	-630	-702	-360	54
-5990	-3015	-3858	-3684	-3849	-3669	-4261	-3293	-3844	-3698	-5251	-3284	-785	-3272	-3730	-2932	-1392	-1274	-2738	-5374	-3683	-5314	-5106	-4243	-2727	-1327	-4467	-4246	-4434	-4249	-18	1979	4313	6209	3023	4083	3014	4104	4113	3728	3017	4724	4745	4714	4757	7023	19648	59679	185645	548579	1645097	4935500	4935388	4935485	4935459	1645905	548028	176838	57474	18798	48	28452	23742	6534	522	-108	-369	-369	-117	783
-5150	-2783	-3035	-3503	-3042	-3342	-3700	-2446	-3040	-3350	-4111	-2446	-404	-2431	-2932	-2894	-920	-985	-2576	-4218	-2944	-4165	-4160	-3850	-2591	-667	-3806	-3880	-3760	-3897	-52	1671	3264	5414	2708	3434	2639	3476	3474	3241	2647	3800	3834	3608	3850	5778	16127	48589	151099	446822	1339627	4018954	4018836	4018926	4018893	1340472	445902	143811	46638	15162	6	23490	19872	5292	576	477	252	405	495	1971
-1984	-870	-1482	-1081	-1473	-1066	-1397	-1282	-1464	-1153	-2177	-1288	-501	-1276	-1392	-920	-754	-587	-809	-2040	-1484	-1926	-1757	-1266	-794	-819	-1343	-1242	-1310	-1245	-18	531	1159	1446	248	903	239	924	913	501	284	1314	1315	1260	1327	1938	5349	16593	51450	152100	456018	1368216	1368183	1368201	1368195	456399	151932	49056	15882	5406	9	7800	6273	1872	162	-261	-459	-459	-216	-81
-1933	-983	-1214	-1187	-1211	-1184	-1571	-1232	-1229	-1001	-1877	-1208	-411	-1208	-1274	-985	-587	-820	-862	-1672	-1327	-1840	-1860	-1248	-880	-843	-1530	-1332	-1512	-1317	-18	537	987	1419	496	765	502	774	765	756	394	1119	1122	1071	1122	1815	5196	15781	48754	144469	433281	1299811	1299782	1299799	1299798	433458	144282	46797	15240	5052	-78	6474	4968	1584	144	-45	-261	-261	-198	351
-4789	-2651	-2897	-3251	-2906	-3111	-3448	-2339	-2904	-3125	-3826	-2339	-373	-2324	-2738	-2576	-809	-862	-2394	-4038	-2753	-4005	-3989	-3582	-2403	-619	-3647	-3588	-3633	-3630	-18	1698	3563	5557	3044	3657	2975	3681	3693	3590	2983	4011	4035	3954	4050	5937	16607	50127	156009	461104	1382707	4148169	4148074	4148162	4148139	1383324	460440	148515	48252	15618	12	24096	20358	5454	486	261	63	198	279	1296
-8732	-4582	-6107	-5481	-6114	-5313	-6116	-4817	-6075	-5709	-8198	-4850	-1239	-4820	-5374	-4218	-2040	-1672	-4038	-8372	-5755	-7959	-7496	-6243	-4006	-1899	-6476	-6084	-6464	-6167	1	3041	7085	9813	4792	6749	4691	6780	6817	5773	4900	7738	7775	7824	7806	11116	30835	94128	293328	865962	2596937	7791313	7791176	7791315	7791285	2598168	865362	278844	90582	29667	24	46056	38646	10611	684	-477	-1179	-1026	-423	-54
-5992	-3096	-4263	-3706	-4260	-3713	-4164	-3371	-4237	-3925	-5879	-3389	-903	-3392	-3683	-2944	-1484	-1327	-2753	-5755	-4258	-5533	-5105	-4285	-2728	-1434	-4419	-4207	-4411	-4197	-10	1942	4523	6333	2688	4337	2698	4339	4366	3280	2815	4987	5020	4970	5017	7267	20115	61468	191780	565839	1696827	5090853	5090755	5090845	5090832	1697766	565407	181938	59007	19356	-144	30681	25713	7173	513	-243	-954	-963	-315	-81
-8688	-4580	-5791	-5457	-5784	-5474	-6225	-4822	-5779	-5509	-7780	-4816	-1108	-4810	-5314	-4165	-1926	-1840	-4005	-7959	-5533	-7920	-7567	-6222	-3990	-1891	-6657	-6202	-6655	-6219	9	3059	7018	9830	5078	6685	5078	6685	6712	6119	5088	7592	7611	7691	7616	11029	30824	93665	291731	861600	2584077	7752488	7752347	7752490	7752471	2585034	861003	277677	90327	29406	-36	44874	37494	10377	693	-315	-855	-882	-369	378
-8432	-4567	-5386	-5453	-5392	-5314	-6203	-4613	-5399	-5233	-7226	-4595	-1015	-4571	-5106	-4160	-1757	-1860	-3989	-7496	-5105	-7567	-7466	-6030	-4000	-1813	-6562	-6058	-6559	-6136	6	3043	6719	9618	5262	6392	5176	6413	6427	6365	5120	7327	7337	7412	7361	10704	30070	91154	283483	837884	2512988	7539038	7538905	7539043	7539024	2513763	837174	270342	88011	28593	18	42516	35352	9774	675	-189	-585	-459	-234	918
-7452	-3986	-4559	-4897	-4547	-4944	-5233	-3638	-4548	-4942	-5967	-3636	-505	-3642	-4243	-3850	-1266	-1248	-3582	-6243	-4285	-6222	-6030	-5632	-3575	-838	-5656	-5644	-5625	-5604	-28	2569	5613	8629	4650	5811	4690	5819	5836	5377	4689	6178	6213	6092	6207	9172	25595	77117	240450	710192	2129638	6389092	6388930	6389068	6389037	2130696	709254	228501	74256	23973	-24	38007	32346	8649	765	459	198	144	414	1890
