-1604	-1103	-983	-2001	-1837	-859	-837	-1230	-1520	-1665	-1309	-1073	-863	-1364	-1136	-1064	-654	-2002	-1593	-1111	-1497	-876	-115	-425	345	-225	250	275	575	140	395	-95	-1995	-330	50	1725
-1103	-1172	-1030	-994	-982	-840	-449	-1005	-1072	-1161	-1134	-735	-561	-1169	-774	-1229	-1093	-1505	-928	-499	-767	-619	-95	-33	335	350	400	95	285	135	165	485	40	155	500	2700
-983	-1030	-950	-853	-829	-771	-429	-896	-937	-1015	-1023	-657	-482	-1048	-686	-1110	-1032	-1341	-830	-433	-652	-538	-80	35	295	340	335	75	250	115	120	465	335	180	480	2450
-2001	-994	-853	-3068	-2747	-809	-1175	-1466	-1955	-2178	-1438	-1359	-1159	-1523	-1469	-822	-47	-2431	-2224	-1746	-2241	-1167	-154	-1015	435	-825	130	515	925	220	720	-750	-4940	-945	-475	725
-1837	-982	-829	-2747	-2508	-772	-1053	-1372	-1795	-2008	-1329	-1262	-1060	-1420	-1366	-808	-129	-2256	-2017	-1549	-2007	-1086	-154	-931	445	-695	185	480	840	210	675	-610	-4525	-865	-390	900
-859	-840	-771	-809	-772	-646	-390	-763	-824	-891	-866	-569	-429	-886	-594	-905	-806	-1150	-748	-421	-613	-470	-66	-12	245	215	255	85	235	95	120	330	75	110	355	1925
-837	-449	-429	-1175	-1053	-390	-504	-613	-794	-879	-637	-573	-454	-662	-607	-420	-166	-1025	-900	-668	-860	-469	-58	-301	180	-255	55	185	350	70	235	-210	-1470	-290	-100	500
-1230	-1005	-896	-1466	-1372	-763	-613	-1088	-1196	-1332	-1113	-834	-658	-1169	-898	-994	-729	-1635	-1196	-768	-1074	-708	-120	-352	405	5	330	250	510	190	375	130	-1585	-220	190	2075
-1520	-1072	-937	-1955	-1795	-824	-794	-1196	-1492	-1628	-1283	-1026	-833	-1326	-1089	-1044	-601	-1926	-1533	-1093	-1458	-873	-110	-442	360	-200	250	280	560	160	395	-100	-2040	-305	60	1725
-1665	-1161	-1015	-2178	-2008	-891	-879	-1332	-1628	-1800	-1378	-1132	-921	-1446	-1214	-1099	-617	-2118	-1701	-1209	-1606	-970	-136	-564	430	-250	295	345	655	200	490	-135	-2640	-430	15	1875
