-20662	-21870	-28231	-5192	-18142	-11186	-15815	-14733	-10564	-8468	-10042	-2499	-6350	-20350	-10005	-15504	-4701	-26369	-18457	-754	-15286	-14376	-8204	-3864	-19256	-14775	54	-12977	-2430	-18120	-9994	-21943	-4378	-9762	-19970	-5139	-1507	-8051	-11633	-13610	-15012	-18042	-12818	-18279	-9748	-7214	-20461	-27265	-17311	-10780	-18179	-13958	-14553	-15344	-13426	-25494	-5530	-11501	-15043	-10437	-6468	-18333	-15463	-10962	-23576	-15484	-20069	-10724	-7560	-19530	-13132	-11445	-19852	-728	-15904	-6713	-19999	-20342	-20916	-12145	-15792	-17549	-518	-16359	-13013	-11564	-11221	-1960	-2303	-6664
-21870	-28014	-28153	-9956	-17988	-15780	-19357	-19895	-12257	-11930	-17586	-9156	-9024	-25654	-16671	-19284	-8546	-28652	-21183	-9537	-14291	-25330	-8071	-5187	-21997	-20867	-649	-7808	-14368	-22892	-15084	-27738	-8985	-11580	-27644	-12336	-4860	-10729	-11099	-14422	-18292	-22951	-18914	-28226	-5420	-10217	-21686	-30499	-16436	-11032	-17661	-15043	-15281	-14399	-20181	-26831	-2499	-9835	-15645	-8911	-12516	-18368	-13818	-12922	-27013	-16926	-23051	-11382	-5474	-23457	-11207	-10710	-18137	-8967	-16604	-5222	-23667	-23520	-23681	-14021	-17549	-18984	-5173	-16492	-13370	-14945	-13475	1764	-2156	-6125
-28231	-28153	-56236	6378	-33566	-4071	-19807	-14952	-7268	-1993	641	19232	-3636	-30640	2569	-20656	6101	-48186	-25596	24073	-24745	-4049	-6961	-4861	-25396	-12530	10159	-29913	24954	-21758	-7738	-29152	6606	-11930	-21832	8615	11022	-3328	-13297	-17299	-11253	-26849	-9685	-9263	-21803	-6078	-37947	-43309	-35490	-24360	-32837	-26579	-24878	-35630	-5173	-45087	-13153	-21847	-26782	-23961	4228	-34041	-28161	-20118	-37667	-27811	-36477	-20643	-13139	-30702	-26789	-20097	-37100	15855	-27531	-14203	-35588	-33201	-39284	-19901	-29624	-32739	19075	-29904	-20013	-17885	-22932	-10486	343	-6762
-5192	-9956	6378	-37316	5601	-16501	-9385	-32041	-31568	-28843	-38098	-34144	-22695	8709	-39771	-19462	-27009	9490	-3534	-40810	-4522	-33241	-15934	-7375	-6375	-15300	-37619	8166	-44615	55	-34183	-8472	-32340	2887	-11005	-42999	-40591	-19099	-14458	-1558	-22912	-17160	-17345	-42239	2945	-36066	10948	19201	11158	1211	9450	6503	9289	2919	-34496	13867	1351	6734	10465	4438	-40439	10129	3920	7623	18291	12390	14224	2793	3563	17241	3710	7679	6489	-38437	8904	1806	15512	15197	11669	8120	8288	11550	-41643	8113	7525	12299	3038	-6027	5635	3185
-18142	-17988	-33566	5601	-22178	-4390	-12768	-7182	-1490	-582	2036	10940	-290	-22004	3272	-10814	4550	-30757	-17091	14313	-14686	-2469	-3788	-3024	-16580	-9472	10264	-17685	14401	-17128	-1167	-18798	6199	-9712	-15718	7523	10093	-1887	-6976	-12595	-6985	-14991	-6385	-4319	-12776	1391	-24045	-30324	-21525	-13125	-20531	-16345	-16961	-18893	-1155	-29043	-6580	-13384	-17794	-13447	5663	-21644	-16723	-13132	-26628	-18249	-23989	-11893	-8001	-22526	-15288	-13433	-22113	11725	-18263	-7700	-24052	-23786	-24703	-13587	-18599	-21105	14028	-18438	-14056	-14210	-13034	-2891	-1323	-6174
-11186	-15780	-4071	-16501	-4390	-18492	-11608	-18152	-12201	-15304	-24489	-22939	-8833	-11033	-24034	-11531	-13266	-7630	-13037	-25401	-3858	-24926	-7661	-4791	-14199	-17390	-10609	4302	-30937	-13774	-13419	-15455	-14174	-7331	-18958	-19879	-14863	-12041	-8319	-10345	-18378	-13745	-16477	-28409	3758	-9766	-4830	-9142	-1162	2639	-2884	-2450	-6286	2856	-21035	-5859	2436	-854	-4354	119	-19740	-1904	245	-1736	-7259	-2849	-3955	-770	-469	-6937	2310	-3738	-1281	-20181	-4067	896	-5985	-8666	-5313	-3696	-2436	-4417	-17136	-903	-2842	-8526	539	4459	-1225	-3185
-15815	-19357	-19807	-9385	-12768	-11608	-14948	-14682	-10027	-9976	-13163	-7273	-7676	-17133	-12529	-14214	-7669	-19098	-15143	-7454	-10737	-18543	-6489	-4178	-14807	-14828	-2364	-5408	-10899	-16317	-11358	-19503	-7869	-8983	-19919	-10449	-5056	-8307	-7747	-10100	-13950	-16706	-13407	-21530	-5024	-8757	-13615	-19691	-9786	-7812	-11284	-9681	-8995	-9289	-14168	-17199	-1022	-5642	-9177	-5026	-9345	-11851	-9611	-8799	-17556	-10297	-14994	-8071	-2674	-15134	-7483	-6230	-12026	-6699	-10843	-3241	-14840	-15372	-15036	-9107	-11865	-11795	-4879	-10682	-9457	-9114	-9457	1617	-637	-4753
-14733	-19895	-14952	-32041	-7182	-18152	-14682	-39768	-33135	-29236	-39861	-27151	-21899	-2705	-40032	-25161	-22132	-11099	-13956	-32569	-11572	-33943	-18154	-9537	-17722	-19942	-32911	-2616	-36461	-7544	-36770	-18501	-26820	28	-17966	-39194	-36501	-19770	-20181	-9382	-27044	-28038	-21529	-45080	-1898	-36901	-5992	2366	-5579	-6293	-3647	-4725	-4123	-11571	-38080	-4949	-5173	-3535	-3129	-7889	-41566	-3101	-5089	1036	4816	917	-105	-3920	-3178	5852	-5978	-3437	-8064	-34650	-2345	-4200	70	1190	-5369	742	-2177	-2954	-33383	-2373	2205	2401	-3724	-12495	6076	2352
-10564	-12257	-7268	-31568	-1490	-12201	-10027	-33135	-34496	-26878	-32478	-23884	-22267	6944	-34917	-21979	-22656	-806	-6125	-28242	-11795	-26467	-18544	-6745	-10291	-12955	-35925	-3481	-28702	532	-35197	-10497	-27616	4407	-8605	-36698	-37012	-18041	-19965	-3749	-22695	-20087	-15161	-37431	-4772	-38129	1652	11326	-35	-6139	14	-63	3500	-9541	-34076	2639	-6279	-1428	3227	-4291	-37527	784	-5796	4550	12215	5789	7035	-2247	-3171	13580	-6769	1435	-5971	-29862	2478	-4116	9401	11039	3591	4746	2275	4382	-36001	-693	3402	12495	-1960	-14406	4998	2107
-8468	-11930	-1993	-28843	-582	-15304	-9976	-29236	-26878	-25192	-31797	-26683	-17929	3011	-32897	-17031	-20910	-285	-7177	-31635	-6409	-28134	-14906	-6686	-9937	-15026	-28711	3152	-34666	-4181	-28512	-10659	-24024	775	-12109	-34135	-31866	-16490	-14546	-5285	-21205	-17331	-15962	-36286	885	-28830	2597	8470	3171	-777	2870	1330	1904	-1743	-30450	3836	-1218	1540	3024	-448	-34006	3164	-511	4025	9303	5999	6181	238	-133	9352	-728	1288	-357	-30240	2457	-427	6818	6447	3780	3640	3248	4277	-32095	2765	3388	5978	784	-6713	4165	931
