-853844	-2878698	-1897901	-1468627	-319888	-1434304	-2554823	-2229479	-3502725	-1937912	-2031683	-1470433	-3315322	-2567834	-2836035	-1712392	-142975	-2387515	-1105513	-2445600	-3254484	-2295575	-3033916	-2387797	-1658559	-1844727	-624011	-1350617	-1227392	-2878044	-886133	-5121	2823824	6990830	8874406	23252817	-1560081	97428	-2298525	-1372242	-423639	-1788720	-1575657	-2594646	-538662	8372073	125286	-11671641	-23325276	-47813940	-1583472	1798392	1703976	25485660	48321984	48572820	116439024	347545764	144032724	70443180	215048952
-2878698	-9962804	-6560655	-4937610	-1006233	-4900666	-8845820	-7607211	-12085178	-6499319	-6913105	-4994903	-11374646	-8737334	-9766858	-5796786	-379830	-8244414	-3732051	-8416853	-11137596	-7844693	-10419306	-8239579	-5570290	-6357459	-2033548	-4595406	-4149898	-9905301	-3066131	-16896	9725597	24110078	30689304	80375349	-5356434	326190	-7983897	-4720701	-1433154	-6161754	-5391882	-8994411	-1743075	28728792	374577	-40081269	-80095884	-164245572	-5651856	6206232	5831796	87537060	166120224	166946076	400311084	1194914196	495077328	242137764	739257840
-1897901	-6560655	-4321758	-3255993	-666683	-3229548	-5824746	-5014174	-7959391	-4286685	-4556193	-3292917	-7493704	-5758305	-6433012	-3821946	-254838	-5430738	-2460328	-5544808	-7338000	-5169184	-6864581	-5427698	-3673656	-4187733	-1344149	-3029625	-2736380	-6524494	-2020005	-11223	6406725	15880250	20211314	52936680	-3527694	216627	-5255076	-3109296	-944667	-4056723	-3552219	-5921967	-1150425	18929103	249687	-26407767	-52771512	-108211608	-3715272	4086684	3842460	57671808	109439280	109983612	263717352	787186224	326156544	159522552	487022220
-1468627	-4937610	-3255993	-2528534	-554978	-2463618	-4381561	-3831580	-6010264	-3337200	-3491824	-2527452	-5693061	-4413923	-4867300	-2944778	-252492	-4096043	-1901545	-4197186	-5590020	-3944397	-5207963	-4096470	-2855616	-3165521	-1078219	-2321400	-2111142	-4940187	-1519699	-8916	4846380	11997211	15222913	39888348	-2679402	167283	-3941289	-2356083	-729510	-3069624	-2707302	-4449777	-932298	14374866	217743	-20039622	-40049532	-82092744	-2705520	3085980	2927100	43753164	82948068	83379876	199868160	596558088	247243932	120922776	369150588
-319888	-1006233	-666683	-554978	-141908	-519563	-891257	-812015	-1234574	-736936	-743733	-541577	-1187339	-940158	-1004365	-635871	-84294	-840987	-412901	-869015	-1173030	-831124	-1084064	-842397	-628221	-652859	-255047	-495770	-457560	-1021493	-310882	-2123	1001196	2468056	3109268	8160111	-556116	38655	-793008	-487017	-157206	-630717	-567825	-901530	-221319	2999301	62163	-4171971	-8339046	-17076768	-503136	632556	613836	9102948	17217576	17315964	41476416	123780132	51339888	25110612	76633668
-1434304	-4900666	-3229548	-2463618	-519563	-2426448	-4350209	-3768755	-5953581	-3247227	-3429201	-2480067	-5619463	-4333870	-4816145	-2883268	-215135	-4060414	-1858232	-4152039	-5508952	-3883108	-5144966	-4059307	-2781209	-3133792	-1031336	-2280031	-2065041	-4885851	-1508694	-8537	4795826	11880475	15102625	39563721	-2644887	163905	-3919695	-2328864	-713121	-3037122	-2667051	-4420899	-886248	14192187	198981	-19792692	-39553692	-81094728	-2738148	3056652	2884824	43222944	81988548	82404900	197568588	589718232	244363752	119515356	364869468
-2554823	-8845820	-5824746	-4381561	-891257	-4350209	-7854604	-6751928	-10729963	-5767157	-6136306	-4433122	-10097719	-7755452	-8671489	-5144751	-334687	-7319365	-3312269	-7472105	-9887111	-6963581	-9249535	-7315137	-4943086	-5644215	-1803237	-4078406	-3682800	-8794068	-2722089	-14963	8634253	21405631	27248137	71361213	-4755924	288939	-7090188	-4191309	-1272045	-5471547	-4786524	-7986786	-1546323	25503393	330963	-35582574	-71105916	-145811568	-5021604	5510556	5177220	77711316	147476256	148209228	355383600	1060807536	439513056	214960968	656289648
-2229479	-7607211	-5014174	-3831580	-812015	-3768755	-6751928	-5856758	-9243271	-5050634	-5328168	-3854098	-8727543	-6734496	-7477600	-4481101	-340029	-6304132	-2888507	-6447209	-8556918	-6032832	-7990142	-6302512	-4325153	-4865724	-1607199	-3543345	-3210610	-7586675	-2342386	-13357	7447088	18447208	23444910	61419846	-4107321	255171	-6082401	-3616584	-1108812	-4714383	-4143141	-6861075	-1381062	22042947	311883	-30740043	-61431132	-125946012	-4241892	4745436	4480548	67126056	127322592	127969740	306803880	915769656	379482048	185602284	566620488
-3502725	-12085178	-7959391	-6010264	-1234574	-5953581	-10729963	-9243271	-14665636	-7913774	-8402862	-6072116	-13812102	-10620320	-11855065	-7050143	-476613	-10003024	-4540442	-10216139	-13528630	-9530670	-12650206	-9998227	-6781504	-7715323	-2484783	-5585152	-5048014	-12023846	-3719060	-20608	11804338	29259598	37231254	97512612	-6504711	396729	-9681825	-5731215	-1743738	-7479549	-6549921	-10909236	-2132745	34883682	461868	-48664659	-97249134	-199411944	-6831936	7531428	7083828	106279728	201666996	202675056	485968248	1450586124	601025976	293954976	897452676
-1937912	-6499319	-4286685	-3337200	-736936	-3247227	-5767157	-5050634	-7913774	-4405968	-4603879	-3333078	-7500202	-5819389	-6410218	-3884817	-339833	-5393118	-2508773	-5527942	-7366169	-5198458	-6860676	-5394150	-3769726	-4168392	-1427640	-3060876	-2785247	-6506432	-2000540	-11788	6382639	15797760	20040363	52514298	-3529497	221433	-5185926	-3103209	-962490	-4042152	-3567543	-5856573	-1234653	18937716	290559	-26398164	-52757274	-108137184	-3550128	4062996	3857304	57636096	109257900	109829172	263264544	785776572	325671480	159280092	486242460
