-43296856	-32986509	-41374348	-20917196	-58811422	-44736111	-9407897	-26455894	-23026226	-2002766	-34523974	-28526130	-21219653	-44017922	-48436403	-4554432	-30348873	-14642364	-8996859	-35091645	-4357290	-3142416	-23734842	-47397109	-26183013	-15092819	-39800725	-39419280	-48750963	-54946173	-36015592	-22649807	-26100283	-49025816	-54706754	-48472341	-13126196	-12904948	-20404913	-3789716	-15561111	-26032324	-41436247	-30963995	-56864829	-19588425	-39931319	-7928419	-17652478	-36237455	-38862118	-23372803	-5804440	-7373214	-25472373	-34935312	-2192732	-51697093	-47497945	-17963894	-24762602	-53923682	-34819054	-24900477	-36000448	-47391672	-56584402	-52433839	-26007984	-55688982	-200624025	-34861767	-60661179	-12391701	674616	4170816	-30715575	-127275750	-23641515	-15033240	7839171	14130000	-36588141	-37306530	-26226684	7834428	15585948	-38163339	-35268948	6276051	-8306550	-14512878	-31063878	-30437685	4091931	-36480096	-15458148	-17159256	10495089	16285194	-19776582	-12900951	12090384	-30345093	-33251193	13062762	3420558	-9579915	-31391766	11348433	-1488600	-35874567	15978204	-27404145	-31525677	-33092973	-11198979	-38289681	-8729172	-27849861	-14242401	-10502001	6090156	8161371	-12872052	-27401229	11596878	-1855971	-11038113	-13632489	-33784416	-10474110	-31739850	6791409	-19861677	-28148886	-35939115	13651560	-32912271	5209875	-33751287	-34309323	12452778	10302858	-32546502	7387344	-12392433	-4961016	2643237	-37608318	-42233967	-16371882	303102	-5778972	1361475	2864322	-54218295	-159915465	-1151658	-2754081	4405509	4449411	4337388	72529101	4553739	7067169	5701104	5974074
-32986509	-28561018	-33823123	-20329477	-45136808	-36338608	-9665014	-23236228	-19315783	-2335979	-26885458	-21827219	-16005556	-34301781	-37306389	-7000475	-25306500	-13936581	-8381475	-28840252	-5649309	-4613660	-21261371	-36164684	-20399378	-12427464	-30883920	-29966784	-36629251	-41522155	-29718315	-18930301	-19867351	-37589681	-43133686	-36447828	-14921170	-12279945	-18219355	-6486323	-13820269	-20788280	-32323168	-25983843	-44088421	-16190513	-29760690	-7792601	-15755703	-30416325	-27390123	-20279643	-6008328	-9415610	-20373695	-27555354	-5300711	-37719444	-36251887	-15683582	-20141336	-41730207	-28573228	-20402786	-28422721	-39055303	-43021386	-41554101	-21439490	-48321309	-168557232	-26223339	-50005494	-10817907	861039	824685	-22264740	-93822723	-18575838	-10639620	7415118	11459889	-23505930	-25048467	-15098139	6348285	12304476	-26723142	-24419331	7286652	-2698560	-9311148	-21186378	-21075282	4844970	-23787702	-8681688	-12338289	8610525	13685688	-13600413	-6392916	10538685	-19707462	-22777362	11471013	4380228	-4538286	-20984562	9354465	1434996	-24867612	13193775	-17051220	-21842280	-22013271	-7024914	-26951904	-4531266	-19510830	-7894152	-5645844	4407327	7387875	-8772984	-19116855	10018575	-1243530	-7084467	-7735698	-22016880	-4592205	-20525220	4970790	-11388528	-16607475	-24267186	12205845	-21979125	5324121	-21732201	-25165116	11049957	11192562	-21109608	5901804	-7489638	-2205684	2838888	-34956234	-38328768	-12899790	1104489	-3357099	2784645	3650994	-36662139	-109308042	-2777328	-3962034	4573584	2501604	2398653	64577412	1992519	6211647	4577310	4420089
-41374348	-33823123	-41234850	-22888537	-56605447	-44390033	-10596358	-27374158	-23165661	-2334185	-33424450	-27369787	-20129199	-42600397	-46765934	-6540016	-30575036	-15878176	-9640953	-35002620	-5717788	-4308529	-24770866	-45420019	-25324925	-14959693	-38487385	-37692233	-46308706	-52215694	-36060451	-22776128	-24855268	-47145554	-53438367	-46135248	-15856120	-13837334	-21153331	-5861303	-16060697	-25678487	-40081611	-31169640	-55046933	-19640962	-37795946	-8706593	-18331368	-36626183	-35728809	-23950471	-6426179	-9401374	-24931470	-34175157	-4440523	-48350498	-45641161	-18441208	-24494254	-52099396	-34698024	-24846996	-35112396	-47373660	-54188243	-51234803	-25890823	-57104527	-202108179	-33199215	-60297309	-12658131	1024530	2436864	-28676751	-119936520	-23073471	-13870539	8567928	14028903	-32199066	-33560109	-21933918	7856046	15325425	-35076636	-32324346	7728642	-5446368	-12754377	-28154475	-27828063	5033943	-32457429	-12687849	-15988419	10491030	16544565	-18026640	-10089189	12522564	-26878968	-30182796	13569669	4607172	-7280442	-28182951	11397276	231408	-32910444	15978375	-23639670	-28916775	-29646927	-9649107	-35194140	-6815151	-25637886	-11726091	-8505459	5538816	8656668	-11621574	-25109019	11883474	-1633023	-9726075	-11201445	-29975724	-7727553	-27983808	6275232	-16446717	-23785749	-32364315	14256657	-29567601	5927247	-29719674	-32351103	13008528	12191526	-28847646	7183800	-10706355	-3585672	3098574	-40072707	-44437167	-15955137	912735	-4831704	2436453	3825063	-48999519	-145369566	-2478681	-4012983	4994379	3559464	3361014	75423717	3173742	7274286	5534244	5450247
-20917196	-20329477	-22888537	-15816798	-28734447	-24450309	-7833653	-16744638	-13468181	-2088016	-17435790	-13914709	-10098681	-22265732	-23798498	-6868126	-17466183	-10613921	-6302457	-19624964	-5129227	-4475542	-15620948	-22910155	-13246770	-8522880	-19917002	-18936889	-22839256	-26106095	-20305332	-13101357	-12630802	-23902764	-28200761	-22739560	-12692011	-9485500	-13396360	-6583509	-10125723	-13699577	-20998508	-18072502	-28358813	-11079301	-18410772	-6132207	-11545377	-21071588	-15870030	-14513575	-4947593	-8537934	-13598817	-17981528	-5814996	-22763584	-22920845	-11281189	-13653268	-26811864	-19441851	-13835515	-18665558	-26642075	-27107778	-27369049	-14699000	-34537902	-117263595	-16348308	-34340724	-7824930	690267	-1070010	-13320276	-57195378	-12102156	-6216183	5571693	7692417	-11938149	-13588848	-6310521	4207158	8016858	-15312375	-13732632	6240294	641961	-4741767	-11719152	-11905533	4192155	-12321009	-3493296	-7316685	5797773	9450288	-7607529	-1786545	7485282	-10188009	-12705408	8205462	3831831	-1095804	-11314701	6312474	2630466	-14005944	8996202	-8314641	-12288087	-11798928	-3498426	-15567228	-1528173	-11167416	-3024009	-2041011	2698326	5373369	-4882950	-10916775	7134489	-678375	-3612537	-3182922	-11435670	-723663	-10563057	3044619	-4817439	-7308585	-13267611	8894988	-11813391	4223124	-11109996	-15209955	7980543	9210960	-10859031	3948876	-3391803	-433062	2323953	-26328996	-28339038	-8462772	1237950	-1477062	2893509	3162159	-20097909	-60785397	-2923371	-3670353	3623373	1055916	985527	47128311	381591	4467312	3101004	2806245
-58811422	-45136808	-56605447	-28734447	-80387646	-61227721	-12835515	-36263785	-31401136	-2566441	-46999016	-38814456	-28654832	-59843604	-66247458	-6129790	-41586543	-20207628	-12342833	-48044196	-6081715	-4117025	-32440976	-64578824	-35598409	-20412343	-54276837	-53595086	-66395259	-74616481	-49284717	-30890455	-35270880	-66838535	-74797211	-66015523	-18245317	-17475188	-27698410	-5126663	-21206293	-35697154	-56429232	-42263172	-77701100	-26798970	-54289244	-10829757	-23959667	-49702666	-52723496	-31808458	-7654438	-10072074	-34564673	-47901144	-3139413	-70234703	-64880361	-24485494	-33609606	-73641140	-47633869	-34115194	-49068419	-64757776	-77213338	-71535041	-35368373	-76022397	-273662463	-47674890	-82401084	-16807620	1126533	5515038	-41923008	-173554254	-32417622	-20405394	11022075	19392057	-49668885	-50701761	-35452845	10892754	21413340	-51952707	-48156219	8866971	-10862352	-19655847	-42258123	-41443542	5654871	-49700934	-20697489	-23411745	14452290	22499208	-26947584	-17286813	16791606	-41231466	-45186777	18070866	5082723	-12718359	-42689664	15695388	-1909881	-49061052	21905595	-36888228	-43135866	-44956359	-15056694	-52066989	-11460456	-37988640	-19228842	-14085612	8066718	11371473	-17393400	-37275903	15881517	-2450907	-14928588	-18196632	-45873009	-13848507	-43029279	9117882	-26561718	-38038959	-48819726	18773037	-44773254	7239915	-45834606	-46964349	17200512	14517819	-44272062	10000071	-16958421	-6465114	3697749	-51413229	-57870612	-22293738	604125	-7672644	2052135	4343301	-73731276	-217634850	-1989522	-4102812	6227523	5827302	5581791	99021447	5732451	9644184	7705044	7874334
-44736111	-36338608	-44390033	-24450309	-61227721	-47871012	-11278289	-29396409	-24931838	-2474667	-36086346	-29559357	-21741531	-45991648	-50554869	-6821220	-32907780	-16997980	-10285153	-37760456	-6002286	-4488521	-26559785	-49107548	-27346084	-16093844	-41596666	-40719539	-50154849	-56544641	-38819078	-24480603	-26852877	-50949324	-57692311	-49883152	-16793528	-14779767	-22682317	-6063233	-17283758	-27690412	-43335083	-33546812	-59490149	-21122524	-40895358	-9300302	-19637380	-39433266	-38781798	-25695088	-6813688	-9934492	-26859364	-36905189	-4546182	-52422274	-49349239	-19804782	-26366345	-56339971	-37408189	-26764450	-37877446	-50988730	-58614610	-55317153	-27883425	-61343665	-217492536	-35972853	-64966224	-13607613	1061010	2796396	-31142568	-129987441	-24941448	-15049125	9187704	15119019	-35152902	-36526608	-24048657	8455050	16517628	-38083986	-35111241	8196822	-6146757	-13912821	-30636558	-30238749	5323608	-35385381	-13939830	-17351073	11314926	17820990	-19602108	-11116881	13499442	-29300391	-32836527	14578578	4852908	-8074377	-30704040	12291183	71793	-35798805	17217369	-25813125	-31444596	-32262615	-10571976	-38245050	-7505019	-27849402	-12873339	-9335772	6016860	9297486	-12631977	-27282852	12757428	-1783638	-10590525	-12295845	-32649948	-8553897	-30528792	6797133	-18025920	-26048241	-35230221	15316137	-32172660	6304275	-32456196	-35070480	13970349	12952638	-31458429	7750755	-11724813	-3999420	3283317	-42857991	-47644497	-17182773	955854	-5271993	2549421	4064067	-53295354	-158002407	-2587707	-4208031	5392089	3927042	3740661	80887248	3524391	7809534	5998293	5934222
-9407897	-9665014	-10596358	-7833653	-12835515	-11278289	-4006774	-8004532	-6369029	-1167642	-7939271	-6275004	-4594018	-10174747	-10623466	-3772606	-8165029	-5166910	-3071127	-9110060	-2681145	-2496402	-7561416	-10276564	-6056004	-4040293	-9008544	-8499835	-10129918	-11708697	-9456337	-6159360	-5764933	-10712672	-12791070	-10085827	-6479059	-4759365	-6547842	-3651800	-4935216	-6207646	-9569801	-8532535	-12770863	-5176017	-8161567	-3093231	-5621282	-9844293	-6765189	-6984426	-2599268	-4524224	-6297067	-8090229	-3247715	-9937951	-10227445	-5402684	-6391577	-12071667	-9033019	-6384137	-8542219	-12392488	-12052979	-12519327	-6917755	-16514480	-55329573	-7167960	-16194474	-3768591	318516	-876597	-5717700	-24975270	-5466348	-2686806	2638998	3490173	-4579632	-5520492	-2022984	1853865	3588498	-6446484	-5641506	3136068	794970	-1842795	-4788063	-4962060	2135025	-4778379	-1149561	-3147219	2615319	4353804	-3136707	-270009	3476232	-3987189	-5259069	3823443	1851552	-118503	-4564125	2823219	1618164	-5778180	4153554	-3181590	-5026104	-4731732	-1379475	-6596937	-446922	-4675491	-882216	-554868	1237860	2503044	-2061981	-4586094	3367467	-308259	-1423692	-1069911	-4476717	161379	-4130451	1335051	-1651356	-2486601	-5389218	4242321	-4734855	2056275	-4297914	-6555006	3760092	4546143	-4213845	1818108	-1151235	-24192	1123146	-12923775	-13774212	-3861783	653481	-552123	1542510	1502496	-8188425	-25010532	-1513242	-1889244	1721574	390663	388638	22771449	36774	2111913	1455651	1315197
-26455894	-23236228	-27374158	-16744638	-36263785	-29396409	-8004532	-18957722	-15683159	-1944778	-21635943	-17527341	-12823526	-27604950	-29989778	-5949655	-20550952	-11447493	-6863197	-23361516	-4755601	-3888214	-17375459	-29017083	-16413581	-10037069	-24846089	-24033610	-29336295	-33262346	-24087785	-15347513	-15919961	-30180187	-34767936	-29201057	-12460926	-10075972	-14864970	-5536230	-11275253	-16779772	-26007563	-21080862	-35474268	-13123655	-23820570	-6429288	-12849539	-24700286	-21756401	-16504666	-4943248	-7899942	-16424996	-22206280	-4605499	-30097149	-29116191	-12763000	-16286286	-33568578	-23139568	-16521581	-22899915	-31627426	-34510537	-33500536	-17357997	-39344400	-136775133	-21019992	-40485780	-8806350	745983	416112	-17765658	-75009609	-14984397	-8474031	6100902	9263475	-18447876	-19789947	-11651040	5134248	9929745	-21228489	-19374237	6104466	-1799541	-7308540	-16764057	-16725042	4042242	-18737721	-6666732	-9850779	6953472	11120643	-10783377	-4798431	8596944	-15503238	-18041985	9345375	3690702	-3376683	-16574409	7562880	1392345	-19755639	10674189	-13309713	-17343099	-17371269	-5495724	-21412827	-3406095	-15512049	-6057081	-4308714	3490902	6036993	-6944103	-15180741	8150949	-977166	-5567850	-5931702	-17314461	-3346326	-16121520	3942468	-8778150	-12866112	-19164708	9960714	-17348832	4398876	-17069688	-20129301	9016677	9310698	-16605000	4746015	-5849991	-1608228	2350800	-28635633	-31347000	-10381716	981018	-2601531	2394225	3068361	-29009448	-86636304	-2427813	-3386610	3761235	1909089	1807434	52700949	1413369	5045490	3693600	3516210
-23026226	-19315783	-23165661	-13468181	-31401136	-24931838	-6369029	-15683159	-13240216	-1547122	-18686725	-15252099	-11252260	-23836764	-25886251	-4346056	-17297825	-9195476	-5569329	-19745800	-3552415	-2901701	-14341405	-25204994	-14183380	-8533123	-21446206	-20921763	-25630516	-29044634	-20331463	-12927244	-13906574	-26130050	-29791705	-25502243	-9557959	-8215416	-12327137	-3988432	-9375337	-14253782	-22458441	-17753824	-30588810	-11076662	-20881467	-5167845	-10610600	-20704688	-19477133	-13745623	-3982875	-5956831	-14093951	-18996309	-3130664	-26572713	-25221339	-10612898	-13867551	-28975159	-19586244	-13969387	-19671964	-26705014	-29960826	-28712645	-14719412	-32733694	-115021686	-18338007	-34383855	-7358313	476268	939990	-15721053	-65916315	-12855879	-7585506	4866696	7859358	-17099856	-18033903	-11365056	4315302	8462700	-19013733	-17374320	4633911	-2536938	-6794604	-15159231	-15042294	3058470	-17218872	-6620796	-8736165	5841018	9284301	-9717651	-5059638	7076331	-14321466	-16308621	7693200	2655990	-3680334	-15129090	6333264	582120	-17697339	9004626	-12597552	-15538536	-15900273	-5204421	-19161972	-3563793	-13863096	-6002073	-4365360	3156372	4883436	-6310944	-13624578	6797223	-888579	-5175441	-5872635	-15971544	-3829950	-14943645	3521313	-8658081	-12418848	-17434188	8184168	-15828084	3431655	-15841503	-17675352	7397028	7166916	-15310899	4095108	-5518548	-1873359	1814454	-23318640	-25697250	-8941752	594891	-2543724	1632231	2211624	-26341416	-78316956	-1541673	-2395899	2910816	1937439	1869966	43465005	1704726	4169232	3196989	3179007
-2002766	-2335979	-2334185	-2088016	-2566441	-2474667	-1167642	-1944778	-1547122	-473814	-1735443	-1333425	-1057178	-2250892	-2088473	-1284014	-1856841	-1306453	-783093	-2067006	-792610	-924579	-1933385	-2118259	-1353476	-1031937	-1904246	-1771230	-2030399	-2506965	-2122179	-1464056	-1344313	-2184653	-2669318	-1992110	-1786979	-1365133	-1769292	-1271424	-1330396	-1264354	-2123805	-2058483	-2615434	-1181133	-1641618	-884536	-1486642	-2225569	-1201272	-1771544	-878117	-1437448	-1476845	-1626399	-1092785	-1915577	-2016730	-1363758	-1521389	-2489509	-2044944	-1398410	-1873145	-2799250	-2376222	-2735393	-1683863	-4103206	-13309179	-1330569	-4007190	-985641	-6462	-413394	-1003368	-4667355	-1109628	-497547	566271	700281	-450171	-752364	80667	301329	668043	-1027845	-762354	802179	400500	-189432	-673065	-756954	593991	-439281	-33885	-540900	517644	893889	-439434	246168	736128	-431784	-793197	823851	357255	157671	-598446	523611	618363	-780615	926901	-380430	-640710	-601893	-224838	-1112607	-43407	-709362	116919	101871	347013	517032	-361242	-739899	777969	-84564	-164214	-55332	-481986	277308	-485163	305253	-91440	-20070	-761148	1019286	-591003	487251	-448092	-1104570	836082	1098315	-407484	432333	57960	28233	253017	-3403692	-3544344	-840132	158760	-84051	442989	263655	-1138374	-3617703	-360531	-456678	366687	76869	148959	5799195	32805	502524	368064	393012
