-32	43	53	-106	65	-2	-4	2	67	-100	-104	100	63	-13	-20	43	-106	22	31	-11	40	96	92	-71	40	-104	-6	25	101	-91	-96	23	40	51	-8	25	99	-91	-94	24	1	5	4	25	-112	34	40	-20	-33	-130	49	-92	18	9	9	36	19	-89	-89	133	12	23	13	-7	20	-91	-91	134	10	24	15	-8	-88	121	113	31	3	43	15	-104	-6	43	4	65	108	-48	-58	-28	10	48	39	-26	-74	-20	-6	-7	8	48	40	-24	-73	-18	-6	-9	24	-16	-6	-107	0	6	-2	65
25	-37	-46	104	-61	2	2	-4	-60	100	100	-104	-62	9	18	-39	102	-18	-27	9	-38	-96	-94	71	-36	102	4	-27	-101	89	95	-21	-34	-47	6	-29	-99	87	92	-20	-1	-11	-7	-19	108	-30	-36	18	29	129	-48	90	-21	-8	-10	-33	-19	89	87	-131	-11	-22	-11	3	-17	90	88	-133	-10	-24	-13	6	87	-122	-111	-27	-3	-41	-15	102	4	-39	-6	-63	-108	50	62	26	-10	-48	-37	26	76	18	5	4	-8	-50	-40	26	73	18	6	7	-26	18	7	106	0	-6	0	-63
27	-30	-36	68	-49	2	2	-1	-49	63	63	-62	-50	12	19	-28	72	-14	-21	8	-30	-61	-59	43	-30	67	2	-18	-66	60	65	-12	-29	-36	4	-19	-65	59	63	-13	-4	-2	2	-13	78	-21	-27	9	30	91	-36	61	-16	-3	-5	-26	-16	58	56	-87	-7	-14	-5	6	-16	60	58	-89	-6	-16	-7	7	55	-77	-68	-20	3	-31	-13	67	6	-31	-2	-47	-69	29	37	20	-8	-32	-24	20	51	13	3	5	-6	-33	-26	19	50	12	3	8	-11	12	3	69	-2	-6	0	-44
-12	11	12	-15	15	0	-2	-2	15	-11	-13	9	12	-8	-7	9	-17	6	7	-4	9	11	9	-8	9	-15	-2	3	13	-14	-14	4	11	9	-2	1	13	-16	-15	6	2	-5	-4	6	-20	8	9	-2	-9	-20	9	-14	3	0	-1	8	3	-11	-12	19	2	3	2	-4	6	-12	-13	18	1	2	2	-2	-10	13	13	7	-2	9	3	-13	-4	9	-2	12	13	-5	-4	-5	2	6	7	-5	-10	-3	-1	-3	2	4	5	-3	-12	-1	0	-2	-1	-1	0	-13	1	3	0	8
-15	14	17	-24	22	-2	0	-2	22	-22	-20	18	19	-7	-14	13	-27	5	10	-3	13	20	20	-15	13	-24	0	5	23	-22	-26	5	15	15	0	3	23	-23	-28	7	3	-3	-8	7	-33	10	15	-1	-12	-32	15	-22	6	-1	2	11	6	-21	-18	31	3	6	-1	-2	9	-22	-19	30	2	6	-2	-4	-18	26	18	8	-5	11	9	-21	-4	11	2	17	24	-8	-15	-8	4	12	5	-8	-20	-5	1	-1	4	10	3	-6	-22	-4	3	0	-2	-4	3	-20	4	5	2	10
20	-24	-28	49	-33	4	4	0	-33	43	43	-39	-28	9	13	-26	53	-15	-19	7	-22	-39	-38	32	-22	47	1	-7	-45	43	46	-15	-24	-24	3	-5	-43	44	46	-18	-4	5	7	-18	55	-21	-24	13	18	57	-24	44	-6	0	-1	-22	-6	39	38	-61	-6	-13	-8	5	-10	42	41	-61	-3	-14	-9	6	36	-53	-48	-18	-2	-21	-7	50	8	-21	-2	-29	-47	19	24	11	-8	-20	-15	11	33	8	2	7	-6	-18	-14	7	34	5	0	8	-5	5	0	47	-1	-1	2	-30
-47	56	65	-118	79	-8	-6	2	79	-108	-106	102	72	-17	-27	53	-132	35	43	-13	52	100	100	-79	52	-114	0	21	113	-103	-111	29	54	60	-4	19	109	-103	-110	33	9	-3	-10	33	-130	42	48	-24	-46	-146	60	-104	18	3	7	48	18	-97	-93	148	14	30	18	-13	23	-102	-98	149	9	33	20	-18	-91	133	120	42	6	52	14	-123	-14	52	8	71	118	-48	-62	-30	18	52	38	-30	-81	-22	-9	-14	14	50	38	-24	-81	-18	-6	-17	19	-18	-6	-117	-2	2	-2	80
15	-18	-18	28	-19	4	4	0	-19	22	22	-18	-14	6	5	-15	35	-18	-15	6	-15	-18	-19	19	-15	26	-1	1	-25	26	26	-12	-17	-14	1	3	-23	27	26	-15	-5	9	8	-15	31	-15	-14	9	13	31	-14	24	0	0	1	-14	0	18	19	-32	-5	-7	-9	8	-4	21	22	-32	-2	-8	-10	7	16	-26	-28	-16	-5	-15	2	30	8	-15	-2	-13	-26	11	11	4	-8	-7	-7	4	17	3	3	7	-6	-5	-6	0	18	0	1	8	0	0	1	26	2	2	2	-20
18	-20	-24	37	-26	4	4	0	-26	31	31	-27	-21	7	10	-19	43	-15	-20	7	-19	-27	-26	24	-19	35	1	-3	-33	33	35	-13	-21	-20	3	-1	-31	34	35	-16	-4	7	8	-16	42	-18	-19	10	16	43	-20	32	-3	0	-1	-17	-3	27	26	-44	-6	-10	-6	6	-7	30	29	-44	-3	-11	-7	9	24	-38	-34	-17	-2	-17	-4	38	8	-17	-2	-20	-35	14	18	7	-8	-13	-9	7	25	5	1	7	-6	-11	-8	3	26	2	-1	8	-1	2	-1	35	-1	2	2	-24
-6	7	8	-15	10	-2	-4	2	10	-9	-11	9	8	-4	-3	7	-13	6	7	-8	7	7	5	-4	7	-13	-2	3	11	-12	-11	5	7	6	-4	3	9	-12	-9	6	2	-5	-2	6	-15	7	7	-4	-7	-14	6	-13	1	0	-2	8	1	-7	-9	15	4	1	2	-2	2	-9	-11	16	2	2	4	0	-5	9	11	7	-2	7	1	-11	-6	7	-2	10	11	-5	-3	-3	4	2	4	-3	-10	-1	0	-2	2	2	5	-1	-9	1	0	-4	-2	1	0	-11	0	2	0	6
21	-23	-27	46	-35	4	4	0	-32	40	40	-38	-30	9	13	-22	52	-15	-19	7	-26	-36	-35	30	-22	44	1	-8	-42	41	44	-13	-24	-23	3	-6	-40	42	44	-16	-4	4	6	-15	53	-19	-22	10	19	60	-26	41	-9	0	-1	-20	-6	36	35	-58	-6	-11	-6	6	-10	39	38	-58	-3	-12	-7	7	33	-50	-45	-17	0	-23	-7	47	8	-20	-2	-28	-44	19	24	10	-8	-19	-14	11	33	7	1	7	-6	-17	-13	7	34	4	-1	8	-4	5	0	47	-2	-1	2	-30
29	-39	-47	98	-61	0	0	0	-61	96	96	-96	-61	11	20	-39	100	-18	-27	7	-36	-96	-92	71	-36	98	4	-25	-97	87	92	-20	-36	-47	4	-25	-97	87	92	-20	-1	-9	-4	-20	106	-30	-36	16	29	125	-47	86	-19	-9	-11	-31	-19	87	85	-127	-10	-22	-11	5	-19	87	85	-127	-10	-22	-11	8	86	-118	-107	-27	-3	-39	-15	98	2	-39	-6	-61	-104	48	59	26	-8	-48	-37	26	71	18	6	5	-8	-48	-37	26	71	18	6	5	-25	18	6	101	0	-6	0	-61
28	-38	-46	96	-59	2	-2	0	-59	96	92	-94	-59	9	20	-38	100	-19	-26	5	-35	-92	-96	72	-35	96	0	-22	-97	85	94	-20	-35	-47	0	-22	-97	84	95	-20	-3	-9	0	-20	105	-29	-35	14	28	122	-46	84	-18	-7	-13	-30	-18	87	81	-124	-10	-23	-10	3	-18	87	81	-124	-10	-24	-9	10	84	-118	-103	-27	-4	-38	-13	96	2	-37	-10	-57	-104	46	63	25	-10	-47	-32	25	71	18	6	3	-10	-47	-32	25	71	19	5	3	-23	18	6	97	1	-6	-4	-58
-22	31	37	-75	46	-2	0	-2	43	-73	-71	71	43	-8	-15	32	-79	19	24	-4	30	71	72	-62	28	-75	-1	13	74	-69	-74	22	30	35	-1	11	74	-70	-76	24	2	3	-2	22	-82	28	31	-15	-19	-94	37	-65	12	6	9	23	9	-65	-62	96	9	18	10	-4	12	-66	-63	95	8	18	9	-9	-63	91	82	24	6	31	8	-75	-3	28	8	40	81	-39	-50	-14	9	34	24	-16	-55	-11	-3	-5	9	32	22	-14	-57	-10	-1	-4	17	-11	-3	-77	0	2	1	44
21	-23	-27	46	-32	4	4	-2	-35	40	40	-36	-30	9	13	-22	52	-15	-19	7	-22	-36	-35	28	-26	44	1	-6	-42	41	44	-13	-24	-26	3	-6	-40	40	42	-15	-4	6	8	-16	53	-19	-22	10	24	55	-23	41	-6	0	-1	-22	-9	36	35	-56	-6	-11	-6	6	-10	39	38	-58	-3	-14	-9	7	33	-48	-43	-17	0	-20	-7	47	8	-23	-2	-28	-44	17	22	11	-8	-17	-12	10	33	7	1	7	-6	-17	-13	7	32	5	0	11	-2	4	-1	44	-2	-1	2	-30
-36	47	56	-112	70	-4	-4	2	71	-104	-104	102	67	-15	-24	47	-114	26	35	-13	44	98	96	-75	44	-112	-4	24	107	-98	-104	27	44	55	-6	23	105	-97	-102	28	5	1	-3	29	-121	38	44	-20	-37	-136	53	-98	18	7	9	40	19	-93	-91	140	14	24	13	-7	20	-95	-93	140	12	26	15	-10	-88	125	114	36	2	46	15	-108	-10	47	6	67	114	-50	-62	-28	14	48	37	-27	-80	-19	-6	-7	12	48	38	-24	-79	-18	-6	-9	20	-16	-5	-109	-1	8	2	65
-1	1	1	-2	2	4	0	-2	2	-2	-6	4	2	-2	0	1	0	-1	1	-2	1	4	0	-1	1	-4	-8	5	0	-2	2	0	1	1	-4	3	2	-4	0	0	-4	1	7	0	-1	1	1	-2	1	-5	0	-2	1	4	0	-1	1	-2	-6	5	0	-1	1	-2	1	0	-4	3	2	-4	0	2	-4	2	6	0	-1	2	2	-2	2	1	-4	4	2	-3	1	-1	-4	2	8	-1	0	0	0	-2	-2	1	5	-1	-2	0	0	0	4	1	-1	-6	1	0	-4	3
7	-8	-10	23	-18	-2	0	0	-15	23	25	-27	-18	3	5	-7	21	1	-3	3	-8	-25	-22	13	-6	24	5	-16	-23	18	18	2	-6	-10	3	-14	-24	19	19	2	2	-8	-9	4	24	-2	-5	1	6	35	-12	21	-10	-3	-2	-6	-7	22	23	-33	-1	-4	-1	1	-7	21	22	-32	-2	-2	0	-1	23	-29	-27	-3	3	-11	-7	23	-2	-8	2	-21	-24	11	12	10	2	-16	-16	12	16	7	3	0	1	-16	-15	12	17	7	3	-1	-11	8	5	26	0	-4	1	-17
34	-45	-54	111	-69	6	4	-4	-69	103	101	-101	-66	13	23	-45	113	-25	-33	11	-42	-97	-97	74	-42	107	0	-23	-110	97	105	-25	-42	-53	4	-24	-104	94	101	-26	-7	-3	4	-26	121	-36	-42	18	37	134	-53	97	-19	-5	-9	-40	-19	92	88	-137	-14	-24	-12	5	-20	96	92	-140	-10	-28	-15	10	87	-125	-112	-33	-2	-45	-14	107	10	-45	-8	-66	-113	49	63	28	-16	-48	-34	28	82	19	6	5	-12	-49	-37	25	78	18	6	9	-19	18	6	106	0	-8	-4	-64
-32	42	49	-100	63	-5	-4	2	63	-92	-91	89	60	-14	-22	43	-103	26	33	-12	41	87	85	-69	41	-98	-2	18	97	-92	-96	28	41	48	-5	18	93	-89	-93	29	6	-2	-6	29	-111	38	42	-19	-34	-121	48	-88	16	5	7	37	16	-82	-80	124	13	21	12	-6	17	-85	-83	126	10	24	15	-9	-77	111	102	32	2	42	12	-96	-11	42	6	58	102	-47	-57	-22	15	40	30	-22	-75	-13	-3	-7	12	40	32	-19	-73	-12	-3	-10	14	-12	-3	-97	2	6	2	56
-34	43	54	-107	68	-7	-4	3	68	-99	-96	95	65	-14	-26	46	-111	26	35	-11	44	92	94	-74	44	-104	2	18	105	-96	-108	29	44	53	-3	19	100	-93	-103	30	8	-1	-11	30	-121	39	47	-18	-37	-129	53	-94	18	3	9	40	18	-89	-83	132	14	24	9	-4	19	-93	-87	135	10	29	12	-11	-82	121	104	33	0	43	16	-102	-12	43	10	61	110	-48	-66	-24	18	44	26	-24	-83	-16	0	-5	14	45	29	-21	-80	-15	0	-9	12	-15	0	-101	4	8	4	57
9	-12	-14	28	-15	3	3	-1	-15	23	23	-21	-12	4	5	-15	29	-12	-13	5	-13	-20	-20	22	-13	27	0	2	-25	28	29	-18	-14	-12	2	2	-23	27	27	-17	-3	7	7	-17	31	-17	-17	12	8	28	-12	25	0	0	0	-13	0	20	20	-33	-5	-7	-6	2	-1	21	21	-33	-4	-8	-7	3	16	-28	-27	-12	-3	-11	-1	27	7	-11	-2	-11	-27	14	16	0	-7	-6	-4	0	21	-1	-3	7	-6	-5	-4	-2	21	-2	-3	7	1	-2	-3	27	-2	2	2	-14
28	-28	-32	46	-37	4	4	2	-37	40	40	-34	-29	11	15	-24	54	-17	-21	7	-24	-36	-35	30	-24	44	1	-6	-42	41	44	-14	-30	-25	3	-2	-40	44	46	-18	-4	8	10	-18	55	-21	-24	10	21	57	-25	41	-6	0	-1	-22	-6	36	35	-58	-6	-13	-8	8	-13	39	38	-56	-3	-12	-7	9	33	-48	-43	-19	0	-22	-7	47	8	-22	-2	-28	-44	17	22	11	-8	-19	-14	11	31	8	2	10	-6	-15	-11	6	34	4	-1	8	-2	4	-1	44	-2	-1	2	-30
23	-26	-32	55	-37	3	2	-1	-41	51	51	-47	-36	9	15	-24	60	-14	-20	6	-23	-47	-47	35	-26	55	1	-10	-53	48	53	-12	-25	-34	2	-10	-51	46	51	-13	-4	2	6	-15	62	-19	-23	9	26	68	-28	48	-8	-2	-5	-22	-12	46	44	-68	-7	-13	-5	6	-12	48	45	-69	-5	-16	-7	10	43	-61	-53	-20	0	-23	-9	55	6	-27	-4	-34	-55	20	29	16	-8	-24	-16	14	39	11	3	5	-6	-25	-17	12	37	11	3	8	-7	8	1	53	0	-2	0	-36
-1	2	4	-8	4	0	-4	2	4	-4	-8	6	4	-2	0	3	-4	1	3	-4	3	4	0	-1	3	-6	-4	3	4	-5	-3	2	3	2	-8	5	2	-5	1	2	-2	-1	5	2	-5	3	3	-4	-3	-7	2	-6	1	2	-2	3	1	-2	-6	7	2	-1	1	-2	1	-4	-8	9	0	0	4	2	-4	4	8	2	-1	4	2	-6	-2	4	-4	6	4	-3	1	-1	0	1	5	-1	-4	-1	1	-2	-2	2	8	-1	-2	1	-1	-4	2	1	-1	-8	1	0	-4	5
1	-3	-6	24	-13	-2	0	-4	-13	23	25	-29	-19	1	3	-5	19	3	-1	3	-6	-25	-22	11	-6	23	3	-14	-24	18	19	2	-2	-10	5	-20	-23	15	14	6	2	-10	-11	6	22	0	-3	1	8	33	-10	21	-10	-3	-2	-6	-10	22	23	-31	-1	-2	1	-1	-4	21	22	-34	-2	-4	-2	-3	23	-29	-27	-1	3	-9	-7	23	-2	-9	2	-21	-24	11	12	10	1	-14	-13	10	19	6	1	-2	2	-18	-18	14	14	8	5	1	-11	8	5	26	0	-4	1	-17
34	-44	-52	105	-66	2	0	0	-67	101	99	-99	-65	13	23	-43	109	-23	-31	9	-40	-97	-97	74	-40	105	2	-24	-104	93	100	-23	-40	-51	2	-23	-106	94	102	-24	-5	-5	2	-24	117	-34	-40	16	33	132	-51	93	-19	-7	-11	-36	-19	92	88	-135	-12	-24	-12	5	-20	92	88	-134	-12	-24	-11	10	87	-123	-110	-31	-2	-43	-14	103	6	-42	-8	-64	-111	49	63	28	-12	-49	-36	27	77	19	7	5	-12	-48	-35	26	79	18	5	5	-21	18	6	104	0	-8	-4	-62
-37	46	53	-99	66	-3	-4	-2	64	-91	-91	87	59	-16	-23	44	-103	27	34	-12	42	87	84	-70	40	-97	-4	19	94	-89	-93	27	44	46	-5	15	94	-94	-96	32	5	-3	-6	30	-111	39	43	-19	-31	-122	49	-87	16	6	7	36	13	-81	-80	125	13	22	14	-8	20	-84	-83	123	10	21	13	-10	-77	110	102	33	2	43	12	-95	-10	40	5	58	101	-47	-56	-22	13	42	34	-23	-71	-15	-5	-9	12	38	30	-18	-75	-10	-1	-8	15	-12	-3	-97	2	6	1	56
-39	47	56	-103	70	-5	0	-3	68	-98	-94	92	63	-15	-28	46	-110	26	35	-9	44	92	95	-76	42	-102	0	19	101	-93	-103	27	46	51	1	14	102	-96	-110	32	7	-1	-12	30	-120	39	47	-16	-32	-129	53	-91	18	4	11	37	15	-89	-82	132	13	26	10	-5	22	-91	-84	129	11	25	7	-13	-82	120	102	33	0	43	16	-99	-9	39	11	59	109	-48	-67	-24	15	47	29	-25	-78	-17	-3	-6	15	42	24	-20	-83	-14	3	-4	13	-15	0	-99	4	8	5	55
