-15471998	-2221472	-1715427	-5206	-3330393	-7865503	-11808413	-3799095	-5176043	-9212471	-9917789	-2206365	-18323478	3069739	-16561700	-7191342	-7384120	-3163488	-4227942	-10585	454153	-11652262	-9046301	-12340237	-626862	-11791571	-15191322	8527	-5571577	-13604330	-13813428	-1451071	-5916011	-677788	-12113180	-20321011	-8350118	-19002407	-18629267	-12276606	-11652841	-11408447	-6328143	398677	243323	-3555436	-17292581	-9188613	-11278249	621638	-6079478	-11989475	-9115840	-6071039	-10455906	-3196563	-17286638	-9764542	-19402508	-18034117	-4912253	-6662261	-729088	-4915203	-16655630	209792	-6014588	-13547145	146081	-7320742	-1615695	-11270977	-2896571	1193033	-12973740	-2896838	-8636673	-2855078	-14133211	-12873122	-11545672	-5159211	-15605031	-3279872	-8310705	-33753	-2863438	-2142	-9478142	240822	-11581246	-16086785	-7334186	-15380665	-9955926	450360	-12184563	608372	-756	1092	-10506	-5671457	-4821894	-15815671	-8774698	20416	-5076240	-10988050	-3965693	-11951666	-5887976	-12106320	-4844900	-6007584	-13764071	-6672526	-5786788	-18120070	-3642	579	-11695513	-5863693	-5736448	-12102829	-16475873	3209	-6122507	8853	-15850304	-5677752	-33993	-6435542	389376	219954	683339	-13428391	-5253	-11730777	-11945736	308373	-7830910	-1875860	-9077847	-11629490	-12102110	-11756266	139816	-11777613	-13878886	-8279716	-5693809	-3596677	559746	2521	-11153494	-8104230	-5711858	-12594303	6084	-11552438	-17835776	-5241939	-155307	2501	-6217023	-5532595	-15993112	423765	-1361483	-7294	-18370036	-15770044	-15407768	-7708144	-15903409	-11788730	-13016015	-16518137	-9851823	-11837944	-8156132	-15469883	-5419105	-10622977	3943	-5905355	-5552569	-6045913	-11730494	4445	-327	-10560603	-15970099	-10078091	-12666767	-4240843	-3451823	-10579777	-5477150	-5900459	-226338	-5180879	-8206672	-8155912	-14888079	3463	-7267762	-1399643	-6204867	-3204637	-5483512	-2996	191803	-12049344	-5997575	-13584272	-5951615	-5693790	-12096323	-5815650	-6246457	-9368391	-18225803	609375
-2221472	-324290	-246965	-683	-471978	-1133003	-1689109	-549135	-754809	-1317443	-1428133	-320221	-2625643	430775	-2381852	-1031982	-1060604	-450327	-607056	-823	64953	-1675121	-1299332	-1773285	-89394	-1695632	-2177888	583	-805858	-1949904	-1977198	-210965	-851079	-96926	-1752563	-2910065	-1197372	-2725047	-2673602	-1757254	-1671832	-1642816	-906968	54992	33491	-513681	-2480195	-1313876	-1624353	87736	-873881	-1710405	-1303088	-872850	-1502138	-458858	-2480908	-1394865	-2780626	-2586143	-707849	-961859	-107336	-708010	-2396482	28894	-864324	-1946670	21638	-1054186	-227753	-1621845	-412757	166734	-1851821	-423932	-1242334	-400734	-2035916	-1846216	-1662314	-738948	-2245461	-474910	-1197016	-3929	-414644	-1931	-1360137	33195	-1662149	-2317894	-1059970	-2212052	-1431557	63254	-1750652	84010	11	461	-979	-817181	-698860	-2275155	-1256520	2237	-726592	-1581386	-559288	-1718745	-847240	-1740597	-690080	-864269	-1980271	-955432	-834728	-2594513	-690	111	-1684062	-844811	-821110	-1739856	-2362884	231	-879128	1311	-2281351	-817656	-4671	-921841	53619	30146	95110	-1931647	-10206	-1688607	-1718301	44616	-1125654	-262115	-1297814	-1674941	-1739912	-1688675	20155	-1694796	-1994335	-1195525	-820098	-516492	78423	293	-1597649	-1161707	-822703	-1799463	969	-1663503	-2556259	-752256	-22585	296	-895706	-792686	-2295864	59323	-192593	-622	-2636980	-2262632	-2212676	-1106905	-2286755	-1693751	-1873929	-2367466	-1422765	-1712405	-1161926	-2221004	-777150	-1524049	517	-852550	-800709	-866743	-1685391	538	-16	-1506854	-2291972	-1439957	-1820112	-607610	-492999	-1520669	-789849	-845021	-30495	-742285	-1181220	-1163462	-2151700	2	-1037713	-201159	-891982	-453291	-783952	-381	24582	-1732425	-863772	-1957033	-858523	-820350	-1738914	-826860	-895675	-1343099	-2619301	84015
-1715427	-246965	-199730	-861	-359656	-870598	-1318372	-443719	-575131	-999133	-1096801	-242962	-2015637	340960	-1839816	-824639	-829100	-359926	-455296	-294	53834	-1302610	-1004695	-1367008	-69497	-1301011	-1692902	96	-620276	-1510746	-1533396	-169891	-653264	-75720	-1361576	-2258969	-936025	-2074527	-2054420	-1377535	-1289331	-1257497	-692309	53055	24828	-407004	-1923633	-1020292	-1248344	60365	-673314	-1342598	-1011554	-672035	-1160082	-356874	-1892339	-1086050	-2150361	-2006126	-546331	-747347	-87460	-546554	-1840241	23409	-646036	-1503447	14765	-822288	-176866	-1243093	-325011	133760	-1451596	-312914	-959262	-326511	-1557446	-1430389	-1275590	-575735	-1765624	-366764	-926583	-4346	-316715	9850	-1054597	24440	-1260060	-1784403	-807844	-1716612	-1107775	51046	-1347960	68331	127	449	-573	-627199	-561164	-1765415	-969209	-49	-576547	-1202534	-438624	-1322506	-650868	-1339204	-546060	-667844	-1521711	-744727	-643727	-2004964	-678	-54	-1295003	-648431	-616779	-1338862	-1824893	222	-677861	1275	-1781538	-626611	-4055	-706164	44847	23726	78369	-1493559	-36487	-1298036	-1320926	36342	-881528	-208923	-1006782	-1285045	-1338864	-1295178	17175	-1303895	-1517350	-917763	-626829	-404214	60752	402	-1242769	-896671	-630956	-1361454	960	-1277892	-1973555	-570630	-19872	388	-693553	-612609	-1772363	50048	-160793	-253	-2035994	-1745978	-1703098	-864382	-1767187	-1299496	-1442630	-1815153	-1120533	-1308939	-893456	-1721427	-605299	-1193982	827	-657599	-613307	-675588	-1292677	357	-64	-1171523	-1766916	-1117142	-1400630	-476118	-380418	-1171292	-604250	-656306	-23887	-578570	-907771	-906040	-1677780	-293	-798629	-148682	-690050	-351604	-621648	-506	19850	-1323619	-665418	-1517426	-662483	-629319	-1336073	-655827	-690302	-1041135	-2016699	68520
-5206	-683	-861	-84	-1083	-2516	-4413	-1863	-1486	-2702	-3194	-586	-5955	1222	-5651	-3199	-2759	-1327	-1108	-18	306	-4153	-3195	-4092	-303	-3738	-5410	21	-1851	-4789	-4859	-729	-1857	-382	-4252	-7226	-3242	-5643	-6026	-4759	-4061	-3465	-1980	356	111	-1448	-6123	-3335	-3629	-133	-2041	-4645	-3324	-2007	-3538	-1108	-5208	-3612	-6637	-6397	-1684	-2421	-362	-1723	-5472	153	-1548	-4572	54	-2663	-557	-3489	-1057	546	-5078	-506	-2911	-1524	-4473	-4481	-3639	-1947	-6034	-1021	-3004	-15	-979	236	-3339	57	-3322	-5327	-2162	-5436	-3448	156	-3948	291	6	15	-30	-1812	-2165	-5546	-3035	-78	-2161	-3246	-1545	-3915	-1914	-3945	-1937	-2085	-4436	-2475	-1947	-6222	-18	-18	-3819	-1872	-1597	-3939	-5563	-3	-2043	36	-5861	-1785	-15	-2130	198	96	348	-4643	-753	-3801	-3864	138	-2954	-845	-3264	-3690	-3966	-3858	78	-3846	-4085	-2678	-1713	-1296	273	27	-4097	-2812	-1794	-3539	18	-3783	-6073	-1578	-126	54	-2148	-1904	-5476	219	-836	-30	-6318	-5209	-5056	-2931	-5524	-3735	-4270	-5252	-3895	-3591	-2721	-5399	-1941	-4099	72	-1974	-1749	-2240	-3720	-3	-30	-3788	-5332	-3588	-4039	-1711	-1123	-3597	-1716	-2159	-77	-1901	-2801	-3058	-5401	24	-2353	-310	-2181	-1188	-2247	-30	45	-3739	-1956	-4818	-2055	-1773	-4009	-2529	-2043	-3318	-5982	297
-3330393	-471978	-359656	-1083	-736638	-1687567	-2541669	-791821	-1096948	-2014043	-2131988	-474076	-3966880	674040	-3559152	-1521360	-1576579	-676134	-925710	-4140	93684	-2493534	-1947043	-2655475	-137010	-2540102	-3264639	3645	-1189086	-2933161	-2980893	-301142	-1274032	-147609	-2569379	-4377843	-1790864	-4130140	-4024475	-2634150	-2514797	-2456708	-1376363	78030	55586	-746600	-3720822	-1985251	-2423870	144807	-1308230	-2584029	-1968891	-1306492	-2248321	-686777	-3747258	-2108388	-4185104	-3881013	-1053021	-1420547	-147705	-1054197	-3586006	46218	-1317417	-2912517	32547	-1559359	-357054	-2427773	-622633	260463	-2797519	-618351	-1854166	-620045	-3042843	-2772068	-2483953	-1110008	-3314341	-697915	-1782002	-8713	-611548	-10614	-2038226	55046	-2519454	-3451158	-1574445	-3294227	-2137426	96915	-2623871	133220	-525	-505	-3667	-1219418	-1000531	-3386936	-1902138	6769	-1081877	-2377750	-869159	-2571423	-1266820	-2604881	-1040678	-1289683	-2960243	-1435944	-1239754	-3915874	-361	20	-2513523	-1260572	-1260927	-2604263	-3552166	1129	-1318965	1773	-3380796	-1221842	-7017	-1397596	84681	48880	148030	-2883873	47508	-2522786	-2570535	64032	-1670586	-414414	-1961214	-2500776	-2603876	-2540138	27837	-2533165	-3008371	-1775165	-1226882	-767404	123906	442	-2399737	-1750670	-1229623	-2758830	1127	-2484426	-3850261	-1141782	-30728	540	-1331153	-1194867	-3444197	91017	-287964	-2773	-3959136	-3398054	-3320524	-1650248	-3415902	-2544113	-2798544	-3576974	-2081392	-2533681	-1779135	-3322277	-1165537	-2272313	696	-1264274	-1192441	-1298643	-2529993	992	-132	-2288975	-3442247	-2180863	-2726472	-910503	-747780	-2281363	-1178199	-1271435	-50928	-1114089	-1767300	-1765682	-3157811	2194	-1581128	-308546	-1332459	-703819	-1171456	-576	45801	-2604492	-1288476	-2905657	-1274660	-1224707	-2608658	-1253253	-1348161	-2017974	-3923262	133476
-7865503	-1133003	-870598	-2516	-1687567	-4004584	-5995296	-1930637	-2643457	-4680198	-5046769	-1123699	-9312949	1550194	-8420778	-3650955	-3754559	-1603451	-2149662	-4787	231210	-5925228	-4597722	-6275225	-317382	-5999244	-7719497	3782	-2837877	-6910198	-7015306	-737793	-3009429	-343029	-6169846	-10323023	-4240974	-9659561	-9470010	-6232903	-5921948	-5805666	-3214776	200722	123670	-1810223	-8786745	-4664474	-5738144	315230	-3091666	-6080717	-4629243	-3087580	-5316902	-1623368	-8790922	-4956538	-9858261	-9162801	-2498872	-3389209	-371459	-2500055	-8472776	105956	-3059523	-6888451	74898	-3724486	-816376	-5734470	-1469902	602650	-6579805	-1484521	-4392793	-1438027	-7193766	-6540643	-5874516	-2619990	-7934792	-1670361	-4225546	-15221	-1460862	-2666	-4816787	122407	-5889482	-8186216	-3736431	-7821356	-5062081	227995	-6196214	307082	-283	797	-4876	-2885614	-2455459	-8042628	-4453599	10864	-2576108	-5590963	-2005548	-6079247	-2995642	-6158399	-2456637	-3054980	-7003194	-3387524	-2944042	-9204120	-1907	496	-5950201	-2983606	-2914343	-6156473	-8373781	1402	-3112592	4350	-8059656	-2889349	-17405	-3269546	195828	111513	344311	-6827189	-6509	-5967599	-6076853	156489	-3980078	-944412	-4609969	-5918194	-6156280	-5977220	71377	-5990363	-7059462	-4214326	-2897776	-1828566	283629	1318	-5665778	-4117570	-2905569	-6398655	2965	-5877293	-9062706	-2664305	-78390	1263	-3161757	-2810496	-8130671	212491	-686942	-3352	-9336099	-8016897	-7835079	-3916836	-8087240	-5994934	-6619731	-8396228	-5012293	-6032556	-4138699	-7864961	-2751671	-5396521	1821	-3004310	-2827063	-3070907	-5967278	2391	-104	-5355730	-8119436	-5115147	-6442936	-2152449	-1753604	-5376747	-2787703	-2996996	-114621	-2630724	-4173813	-4137093	-7579360	1364	-3688395	-712003	-3154942	-1622175	-2781856	-1472	95295	-6128726	-3050057	-6909338	-3027905	-2896821	-6150571	-2945811	-3174905	-4759223	-9269404	307485
-11808413	-1689109	-1318372	-4413	-2541669	-5995296	-9031382	-2918163	-3934615	-7016577	-7560397	-1678246	-13975801	2358127	-12639452	-5517794	-5645135	-2429212	-3213705	-8258	350166	-8900805	-6906301	-9414886	-479899	-8988786	-11607524	6662	-4246572	-10391682	-10553922	-1113482	-4510068	-519304	-9244274	-15526421	-6386528	-14475501	-14209005	-9394922	-8893753	-8692558	-4823584	315776	185187	-2721617	-13209087	-7023061	-8598602	467729	-4637835	-9181102	-6966754	-4630842	-7979577	-2442883	-13170024	-7466777	-14815336	-13776075	-3747533	-5087023	-559932	-3750098	-12698398	161840	-4569042	-10338667	109314	-5593124	-1237545	-8590246	-2218764	918284	-9932897	-2189602	-6589955	-2204199	-10767153	-9831838	-8800719	-3944438	-11938662	-2500909	-6344115	-28119	-2179167	10079	-7239193	183057	-8815779	-12266833	-5581756	-11745108	-7600146	346520	-9294496	469417	-547	713	-8246	-4323094	-3697532	-12077074	-6700369	13820	-3891703	-8365217	-3040770	-9114938	-4489035	-9232733	-3714719	-4584761	-10494012	-5102059	-4413845	-13836530	-2829	201	-8917804	-4469649	-4363382	-9230396	-12576766	2641	-4671764	7035	-12114391	-4326883	-26426	-4908176	301981	168732	528307	-10249593	-27595	-8944622	-9108933	237127	-5988616	-1443994	-6936975	-8863871	-9229765	-8964041	108090	-8981917	-10568736	-6309980	-4337404	-2750032	428441	2148	-8524503	-6186965	-4353800	-9589238	4857	-8807557	-13615655	-3991441	-121009	2130	-4745441	-4224604	-12206016	329081	-1053923	-5690	-14021898	-12035228	-11753211	-5893365	-12137485	-8988130	-9927411	-12595965	-7536504	-9012369	-6227156	-11812821	-4142906	-8126493	3531	-4504292	-4230232	-4622046	-8942450	3281	-348	-8076037	-12186048	-7702768	-9660646	-3245581	-2635491	-8072580	-4172489	-4508919	-173667	-3961076	-6258257	-6238296	-11370244	2750	-5548665	-1061739	-4736468	-2452616	-4204380	-2559	148727	-9180788	-4574803	-10370507	-4540027	-4339857	-9224958	-4462563	-4766600	-7156278	-13902177	470430
-3799095	-549135	-443719	-1863	-791821	-1930637	-2918163	-989600	-1282749	-2203958	-2431181	-539902	-4458013	750316	-4078110	-1828854	-1838226	-795683	-1005386	-146	120803	-2888202	-2225931	-3028797	-153645	-2882731	-3749161	-275	-1377284	-3343766	-3392634	-378242	-1447207	-167109	-3026654	-4999475	-2073974	-4586930	-4547698	-3049648	-2854130	-2786571	-1530081	118527	54648	-905370	-4259352	-2256076	-2767310	132294	-1491581	-2968416	-2237556	-1488813	-2570523	-789476	-4187966	-2401027	-4759546	-4441990	-1210925	-1659789	-195047	-1211311	-4077912	51748	-1427551	-3330401	33191	-1824863	-388801	-2753508	-718375	294417	-3209086	-697635	-2126264	-717586	-3452856	-3166940	-2826777	-1274864	-3919321	-814309	-2054988	-8611	-705101	22816	-2336008	53731	-2785936	-3956753	-1793126	-3804711	-2454821	113141	-2985977	150805	391	1172	-891	-1389809	-1250663	-3913966	-2142183	-172	-1276760	-2663189	-965294	-2930364	-1442361	-2967929	-1207159	-1480062	-3371324	-1646922	-1427227	-4434845	-1551	-87	-2870250	-1437193	-1360913	-2966991	-4040642	348	-1501049	2727	-3953943	-1388598	-9383	-1562430	98774	52356	172954	-3310726	-91940	-2876355	-2927007	81568	-1955104	-456265	-2226790	-2848359	-2967118	-2867300	38781	-2888734	-3357753	-2035565	-1388966	-896090	134576	841	-2750875	-1984989	-1397579	-3004269	2031	-2831551	-4366772	-1261415	-44353	917	-1538075	-1355274	-3925716	110284	-355346	-249	-4508489	-3866453	-3771746	-1915312	-3916402	-2877257	-3198489	-4013998	-2492109	-2907310	-1970453	-3813872	-1341856	-2645377	1897	-1458450	-1360078	-1496118	-2862957	779	-257	-2588056	-3913304	-2469726	-3102147	-1054157	-841088	-2593946	-1338986	-1452604	-51026	-1281182	-2011714	-2001011	-3728917	-972	-1762476	-328113	-1529109	-773107	-1376382	-1132	42258	-2930796	-1474334	-3365493	-1468947	-1394423	-2959046	-1449357	-1528213	-2303589	-4468137	151194
-5176043	-754809	-575131	-1486	-1096948	-2643457	-3934615	-1282749	-1767268	-3062498	-3329562	-745731	-6114744	1000430	-5550062	-2403255	-2472765	-1047668	-1411460	-1546	153752	-3905681	-3027026	-4133076	-207228	-3953527	-5075011	982	-1879414	-4540099	-4603922	-490941	-1983215	-224269	-4090968	-6778192	-2789295	-6344329	-6228383	-4091916	-3893199	-3829238	-2109802	130469	79227	-1199988	-5777029	-3057759	-3786580	204180	-2036354	-3979107	-3035035	-2033979	-3501895	-1066947	-5781428	-3246426	-6477239	-6023691	-1648408	-2242524	-249096	-1648943	-5585291	68034	-2011030	-4535899	50591	-2459103	-528379	-3779149	-961041	388294	-4306524	-994452	-2896112	-925720	-4748580	-4299946	-3874170	-1720964	-5237526	-1106884	-2788781	-7226	-971156	-2933	-3168988	78448	-3869958	-5403740	-2473464	-5154723	-3335294	148436	-4080138	197255	131	1166	-2069	-1903403	-1632809	-5302648	-2920017	6509	-1691061	-3684861	-1298647	-4006111	-1975000	-4058628	-1606335	-2013557	-4616352	-2221531	-1944130	-6040499	-1560	384	-3924714	-1968670	-1908992	-4056766	-5505749	440	-2048128	2805	-5320504	-1905703	-11609	-2147134	125171	71497	221825	-4500808	-28737	-3934558	-4005366	104815	-2623471	-603111	-3022310	-3904490	-4056943	-3932931	48058	-3948186	-4645218	-2785455	-1911476	-1204092	184209	582	-3720719	-2706151	-1915572	-4187227	1977	-3875528	-5952770	-1749846	-52039	779	-2086870	-1845370	-5350320	136955	-446863	-1205	-6142012	-5273672	-5156933	-2577867	-5329113	-3945903	-4367007	-5513088	-3320622	-3997716	-2701444	-5177207	-1810673	-3549684	1234	-1985198	-1867452	-2018497	-3929103	1501	-219	-3502954	-5342088	-3350859	-4242441	-1413657	-1149104	-3540012	-1839717	-1968167	-71135	-1728581	-2751751	-2704929	-5020966	-174	-2411798	-467605	-2078367	-1051340	-1825009	-863	57091	-4035816	-2011193	-4560907	-1999628	-1910724	-4050435	-1923156	-2087234	-3125355	-6105638	197331
-9212471	-1317443	-999133	-2702	-2014043	-4680198	-7016577	-2203958	-3062498	-5549532	-5906980	-1315519	-10954701	1836149	-9849443	-4220562	-4370337	-1866587	-2552159	-9294	259703	-6908924	-5382844	-7347751	-374821	-7031137	-9027694	7997	-3305550	-8101760	-8228591	-841958	-3527267	-405106	-7151802	-12094496	-4950427	-11397895	-11120797	-7278959	-6948604	-6805267	-3795072	215631	149714	-2082233	-10286515	-5476365	-6715075	390112	-3620703	-7122219	-5432370	-3616306	-6221939	-1900578	-10349791	-5816571	-11561061	-10727287	-2919879	-3941680	-418274	-2922169	-9926885	124716	-3632940	-8062077	89529	-4328631	-973809	-6723725	-1718971	710303	-7711099	-1732052	-5135225	-1692042	-8429187	-7661308	-6880908	-3065489	-9199598	-1942672	-4934557	-21129	-1700126	-26276	-5636175	148438	-6955687	-9567522	-4369899	-9128786	-5918104	265170	-7259725	360636	-1101	-438	-8436	-3379234	-2800157	-9384857	-5243623	16681	-2993830	-6576468	-2376791	-7118728	-3508173	-7210636	-2870510	-3571696	-8201305	-3967586	-3438950	-10809849	-1481	418	-6963542	-3493359	-3468127	-7208690	-9816425	2498	-3647781	4851	-9372538	-3385237	-18929	-3852391	229083	132013	402231	-7982121	92574	-6987640	-7117205	177108	-4629614	-1128100	-5411365	-6929240	-7207904	-7021508	78062	-7015057	-8314725	-4925161	-3398493	-2127702	335945	1298	-6631507	-4833227	-3406219	-7593238	3187	-6882670	-10637176	-3149701	-86456	1276	-3689512	-3299645	-9524055	247233	-792584	-6283	-10943401	-9395429	-9185394	-4568618	-9457165	-7036686	-7746550	-9879890	-5788032	-7039847	-4895041	-9194665	-3217092	-6290267	1562	-3507562	-3307403	-3589767	-7000229	2726	-60	-6301238	-9516897	-6011996	-7548409	-2514928	-2062724	-6306475	-3266393	-3511295	-139941	-3077206	-4890848	-4864423	-8782931	4328	-4355326	-850141	-3688847	-1928418	-3237839	-1462	119582	-7202656	-3569889	-8056256	-3535844	-3393571	-7214888	-3447675	-3725020	-5578164	-10856764	361044
