-20	6	-13	13	9	10	-3	-3	2	3	-8	-8	2	-8	-2	7	9	1	-22	5	7	10	5	-1	1	-11	2	8	14	8	4	-8	-5	10	11	-5	4	3	-11	-1	6	-7	12	-13	-6	2	-7	-2
6	-6	4	2	-5	2	0	-1	2	2	-2	2	-1	-3	5	-2	-3	-5	1	1	2	-4	2	-2	-1	-1	-2	2	-2	-1	1	2	-1	2	-5	4	1	-5	4	0	-6	3	0	1	4	2	1	0
-13	4	-14	9	5	9	1	-4	-1	2	-7	-5	4	-6	-2	6	5	1	-16	2	4	9	4	0	1	-6	0	8	11	6	4	-6	-7	10	7	-3	5	2	-8	-1	6	-6	10	-11	-2	-1	-7	-1
13	2	9	-36	0	-15	7	10	-11	-16	22	5	-1	31	-23	3	-11	16	35	-11	-28	3	-20	11	7	24	-2	-17	-18	-14	3	4	7	-29	4	1	-8	20	0	-7	13	-1	-16	22	0	-12	7	-7
9	-5	5	0	-12	2	2	1	4	3	-1	3	0	-4	5	-5	-2	-7	5	-1	5	-5	1	-3	-1	2	-5	1	-4	-5	-1	6	1	2	-10	5	0	-7	6	0	-7	1	-1	3	3	2	6	1
10	2	9	-15	2	-16	1	5	-5	-6	11	5	-2	14	-4	-4	-5	7	20	-5	-11	-6	-8	4	0	11	4	-12	-12	-5	-6	3	8	-14	-2	-2	-6	5	5	3	2	4	-13	12	0	-4	4	2
-3	0	1	7	2	1	-8	0	5	2	-3	-3	-4	-5	6	-1	4	0	-6	3	6	-2	3	-3	-4	-7	4	2	5	5	-3	-1	1	3	3	-2	-1	-3	0	1	-3	3	0	-3	0	4	-1	0
-3	-1	-4	10	1	5	0	-8	0	3	-6	1	3	-8	6	0	1	-3	-8	3	5	1	5	0	-3	-4	0	4	6	6	-1	-2	-5	9	0	-1	4	-5	0	0	-1	1	4	-7	2	0	-5	4
2	2	-1	-11	4	-5	5	0	-12	-4	7	2	5	10	-10	3	-4	8	9	-6	-12	4	-5	7	4	10	-1	-6	-2	-1	0	0	-3	-6	4	-3	0	10	-4	-4	10	-4	-3	5	-1	-8	-1	0
3	2	2	-16	3	-6	2	3	-4	-14	13	1	-2	19	-13	3	-6	11	18	-4	-15	4	-11	6	1	13	0	-8	-7	-5	3	-1	4	-16	8	-3	-5	12	-2	-5	9	1	-9	11	1	-7	0	-4
