-22	280	206	258	282	85	239	164	290	181	227	269	338	262	280	183	264	201	214	177	21	788	582	1785	5276	16384	49519	49461	49439	49426	49462	49474	49396	49495	49479	147071	441511	111	-4269	-27	798	441471	-78	237	1254	2394	157167	58038	25260	14709	9936	3960	312	420	-1116	2112	3576	6528	6660	3708	-8928	-29484
280	-5156	-4202	-4764	-5182	-1596	-4657	-3189	-5446	-3139	-3977	-4784	-6080	-4849	-5198	-3310	-4677	-3595	-3939	-3131	-327	-14188	-10298	-31633	-93617	-290723	-879129	-878162	-877808	-877210	-877766	-878405	-876951	-878914	-877960	-2608990	-7832658	-2061	82662	450	-14517	-7832034	1326	-4257	-20055	-34788	-2756076	-997515	-415929	-228720	-144240	-61140	-4488	-6060	21384	-37296	-63132	-117708	-120132	-65772	164340	554904
206	-4202	-3698	-3944	-4281	-1119	-4071	-2582	-4575	-2398	-3027	-3914	-4804	-3969	-4162	-2773	-3597	-2784	-3246	-2434	-237	-11219	-8184	-25165	-74574	-231710	-700355	-699701	-699488	-698915	-699242	-699935	-698731	-700279	-699455	-2078529	-6240166	-1785	71658	294	-11979	-6239700	885	-3438	-14361	-21924	-2172000	-771159	-307656	-158508	-91332	-42456	-2772	-3852	18780	-29928	-52128	-96720	-99108	-50724	131148	460728
258	-4764	-3944	-4542	-4852	-1438	-4472	-3003	-5126	-2922	-3696	-4515	-5687	-4628	-4845	-3111	-4308	-3268	-3648	-2957	-314	-13205	-9620	-29506	-87454	-271329	-820453	-819573	-819258	-818735	-819217	-819810	-818443	-820265	-819442	-2435271	-7311166	-1953	75171	405	-13854	-7310565	1251	-4083	-18321	-31065	-2566689	-925320	-382536	-207639	-128784	-55488	-3168	-5172	20820	-34680	-60444	-111204	-113904	-65772	150660	513756
282	-5182	-4281	-4852	-5296	-1578	-4797	-3248	-5523	-3168	-4006	-4874	-6134	-4969	-5263	-3388	-4688	-3604	-3990	-3160	-326	-14271	-10357	-31892	-94449	-293287	-886794	-885822	-885477	-884874	-885403	-886082	-884601	-886593	-885618	-2631711	-7900925	-2106	84876	423	-14853	-7900284	1329	-4323	-19920	-33792	-2775021	-1001136	-414429	-225549	-140424	-60444	-4452	-5952	21936	-37848	-64728	-120036	-122688	-67068	164520	563436
85	-1596	-1119	-1438	-1578	-976	-1213	-1334	-1605	-1415	-1748	-1515	-2276	-1753	-2006	-937	-1917	-1472	-1160	-1203	-126	-5218	-3447	-10799	-31998	-98942	-300236	-299698	-299394	-299088	-299509	-299652	-299272	-300116	-299283	-888721	-2668406	-375	21117	273	-4851	-2668188	816	-1404	-8874	-18180	-965589	-366126	-168141	-104217	-75576	-28032	-2808	-3660	4392	-12900	-19548	-38016	-37944	-29844	57060	172152
239	-4657	-4071	-4472	-4797	-1213	-4636	-2892	-5113	-2683	-3402	-4422	-5398	-4505	-4650	-3123	-3977	-3042	-3634	-2770	-274	-12567	-9203	-28260	-83839	-260295	-786726	-785970	-785751	-785200	-785523	-786279	-784892	-786628	-785822	-2335350	-7011209	-2043	79047	312	-13602	-7010646	1044	-3930	-15969	-24177	-2438343	-864447	-343767	-176082	-100584	-47100	-2472	-3936	21648	-33396	-59316	-108960	-111996	-59976	144900	512892
164	-3189	-2582	-3003	-3248	-1334	-2892	-2346	-3398	-2290	-2859	-3046	-4082	-3319	-3607	-2044	-3223	-2471	-2408	-2120	-212	-9419	-6521	-20273	-60215	-186507	-564821	-564066	-563698	-563186	-563677	-564123	-563267	-564696	-563568	-1674107	-5026313	-1104	49131	357	-9645	-5025921	1122	-2745	-13794	-24507	-1778466	-649728	-276588	-156228	-102300	-42132	-3372	-4836	12240	-24336	-40632	-76176	-77292	-50904	105048	348732
290	-5446	-4575	-5126	-5523	-1605	-5113	-3398	-5894	-3291	-4148	-5137	-6399	-5224	-5507	-3558	-4872	-3737	-4170	-3296	-341	-14911	-10848	-33318	-98754	-306570	-926936	-925951	-925605	-924968	-925504	-926235	-924691	-926738	-925743	-2751040	-8259146	-2217	88056	447	-15660	-8258496	1338	-4554	-20502	-34176	-2896029	-1041807	-428529	-231036	-142044	-61932	-4020	-6000	23520	-39504	-68424	-126420	-129276	-71640	171720	588492
181	-3139	-2398	-2922	-3168	-1415	-2683	-2290	-3291	-2422	-2967	-3037	-4141	-3319	-3567	-1981	-3325	-2542	-2324	-2187	-234	-9524	-6620	-20562	-60905	-188605	-571240	-570393	-569982	-569560	-570162	-570427	-569624	-571020	-570017	-1693448	-5084323	-1008	44604	408	-9570	-5083902	1221	-2778	-15123	-28875	-1815759	-673968	-296613	-174873	-120156	-47100	-3780	-5520	11244	-24516	-40512	-75600	-76572	-52740	104652	336636
