-15	49	38	51	9	61	36	60	37	41	61	34	25	43	10	116	526	2674	2709	2708	2691	2699	2696	2694	2696	13432	25	15	10	13435	2630	530	20	55	25	25	-300
49	-399	-281	-354	-69	-464	-271	-430	-287	-360	-398	-352	-168	-302	-48	-762	-3335	-17115	-17286	-17269	-17092	-17185	-17167	-17236	-17082	-85085	-115	-105	-35	-85045	-16630	-3320	-40	-215	-55	-75	2100
38	-281	-265	-281	-37	-341	-220	-332	-230	-243	-288	-262	-158	-234	-56	-710	-3119	-15952	-16099	-16079	-15987	-16026	-16012	-16041	-16006	-79719	-75	-65	0	-79715	-15590	-3125	-10	-270	-90	-80	1975
51	-354	-281	-349	-68	-420	-265	-397	-264	-317	-371	-309	-183	-286	-60	-848	-3732	-19096	-19280	-19265	-19123	-19186	-19172	-19214	-19125	-95251	-105	-85	-25	-95230	-18625	-3725	-40	-285	-80	-100	2250
9	-69	-37	-68	-93	-120	-79	-93	-75	-100	-84	-84	-45	-71	-19	-301	-1344	-6872	-6929	-6914	-6851	-6847	-6881	-6908	-6813	-33913	40	25	30	-33900	-6630	-1280	25	-35	45	15	800
61	-464	-341	-420	-120	-592	-345	-545	-372	-442	-480	-452	-225	-366	-64	-1060	-4657	-23861	-24076	-24038	-23824	-23910	-23920	-24009	-23794	-118488	-85	-95	-15	-118445	-23160	-4575	-20	-255	-40	-65	2950
36	-271	-220	-265	-79	-345	-236	-315	-225	-263	-285	-263	-154	-231	-53	-761	-3344	-17112	-17260	-17239	-17110	-17145	-17155	-17203	-17096	-85148	-45	-55	10	-85125	-16660	-3315	0	-225	-35	-60	2000
60	-430	-332	-397	-93	-545	-315	-516	-346	-401	-448	-420	-218	-341	-62	-1000	-4394	-22505	-22710	-22673	-22491	-22574	-22573	-22648	-22479	-111931	-95	-95	-25	-111900	-21870	-4325	-25	-265	-65	-75	2800
37	-287	-230	-264	-75	-372	-225	-346	-248	-272	-295	-288	-150	-230	-47	-713	-3131	-16037	-16176	-16146	-16020	-16061	-16073	-16126	-16008	-79713	-40	-55	10	-79695	-15585	-3085	0	-190	-35	-40	2000
41	-360	-243	-317	-100	-442	-263	-401	-272	-362	-367	-346	-161	-286	-45	-772	-3378	-17355	-17515	-17491	-17303	-17391	-17389	-17476	-17270	-85997	-70	-75	-15	-85945	-16790	-3315	0	-165	-5	-40	2150
61	-398	-288	-371	-84	-480	-285	-448	-295	-367	-424	-348	-187	-315	-57	-865	-3816	-19540	-19738	-19720	-19543	-19629	-19615	-19674	-19536	-97297	-120	-100	-35	-97265	-19015	-3785	-50	-260	-70	-95	2350
34	-352	-262	-309	-84	-452	-263	-420	-288	-346	-348	-386	-176	-267	-42	-810	-3517	-18067	-18208	-18170	-18008	-18080	-18091	-18178	-17980	-89508	-40	-65	-5	-89465	-17470	-3430	20	-145	0	-25	2325
25	-168	-158	-183	-45	-225	-154	-218	-150	-161	-187	-176	-124	-148	-40	-595	-2615	-13359	-13464	-13447	-13380	-13396	-13401	-13423	-13380	-66615	-30	-30	5	-66610	-13025	-2580	0	-180	-40	-50	1550
43	-302	-234	-286	-71	-366	-231	-341	-230	-286	-315	-267	-148	-260	-52	-709	-3129	-16020	-16180	-16163	-16024	-16087	-16075	-16127	-16017	-79787	-85	-75	-20	-79760	-15605	-3115	-20	-235	-60	-70	1900
10	-48	-56	-60	-19	-64	-53	-62	-47	-45	-57	-42	-40	-52	-20	-210	-935	-4762	-4806	-4802	-4785	-4783	-4784	-4783	-4790	-23860	-10	-5	10	-23865	-4675	-940	0	-95	-25	-25	525
116	-762	-710	-848	-301	-1060	-761	-1000	-713	-772	-865	-810	-595	-709	-210	-3028	-13336	-68094	-68624	-68543	-68187	-68232	-68293	-68400	-68149	-339316	-80	-90	80	-339290	-66390	-13145	30	-900	-135	-215	7675
526	-3335	-3119	-3732	-1344	-4657	-3344	-4394	-3131	-3378	-3816	-3517	-2615	-3129	-935	-13336	-58802	-300179	-302541	-302182	-300629	-300808	-301083	-301534	-300468	-1496062	-360	-395	345	-1495965	-292735	-57965	105	-4025	-630	-970	33775
2674	-17115	-15952	-19096	-6872	-23861	-17112	-22505	-16037	-17355	-19540	-18067	-13359	-16020	-4762	-68094	-300179	-1532522	-1544568	-1542727	-1534733	-1535700	-1537096	-1539459	-1533887	-7637353	-1835	-2035	1760	-7636815	-1494350	-295875	580	-20455	-3155	-4910	172625
2709	-17286	-16099	-19280	-6929	-24076	-17260	-22710	-16176	-17515	-19738	-18208	-13464	-16180	-4806	-68624	-302541	-1544568	-1556740	-1554890	-1546823	-1547812	-1549205	-1551579	-1545982	-7697598	-1890	-2070	1755	-7697060	-1506140	-298235	555	-20665	-3215	-4980	173975
2708	-17269	-16079	-19265	-6914	-24038	-17239	-22673	-16146	-17491	-19720	-18170	-13447	-16163	-4802	-68543	-302182	-1542727	-1554890	-1553056	-1544994	-1545989	-1547368	-1549729	-1544159	-7688532	-1910	-2070	1750	-7687995	-1504375	-297905	540	-20660	-3220	-4990	173700
2691	-17092	-15987	-19123	-6851	-23824	-17110	-22491	-16020	-17303	-19543	-18008	-13380	-16024	-4785	-68187	-300629	-1534733	-1546823	-1544994	-1537054	-1537994	-1539373	-1541678	-1536251	-7649142	-1875	-2030	1755	-7648645	-1496675	-296390	540	-20615	-3245	-4985	172775
2699	-17185	-16026	-19186	-6847	-23910	-17145	-22574	-16061	-17391	-19629	-18080	-13396	-16087	-4783	-68232	-300808	-1535700	-1547812	-1545989	-1537994	-1538996	-1540344	-1542678	-1537191	-7653827	-1935	-2070	1720	-7653305	-1497570	-296570	525	-20610	-3250	-4995	172925
2696	-17167	-16012	-19172	-6881	-23920	-17155	-22573	-16073	-17389	-19615	-18091	-13401	-16075	-4784	-68293	-301083	-1537096	-1549205	-1547368	-1539373	-1540344	-1541728	-1544067	-1538549	-7660575	-1880	-2045	1745	-7660055	-1498895	-296805	545	-20585	-3215	-4970	173100
2694	-17236	-16041	-19214	-6908	-24009	-17203	-22648	-16126	-17476	-19674	-18178	-13423	-16127	-4783	-68400	-301534	-1539459	-1551579	-1549729	-1541678	-1542678	-1544067	-1546454	-1540830	-7671925	-1875	-2065	1740	-7671375	-1501095	-297210	570	-20550	-3180	-4945	173450
2696	-17082	-16006	-19125	-6813	-23794	-17096	-22479	-16008	-17270	-19536	-17980	-13380	-16017	-4790	-68149	-300468	-1533887	-1545982	-1544159	-1536251	-1537191	-1538549	-1540830	-1535482	-7645323	-1910	-2045	1745	-7644845	-1495930	-296275	520	-20675	-3300	-5020	172675
13432	-85085	-79719	-95251	-33913	-118488	-85148	-111931	-79713	-85997	-97297	-89508	-66615	-79787	-23860	-339316	-1496062	-7637353	-7697598	-7688532	-7649142	-7653827	-7660575	-7671925	-7645323	-38066926	-9555	-10220	8675	-38064545	-7448455	-1475250	2555	-103020	-16475	-25030	859625
5	-23	-15	-21	8	-17	-9	-19	-8	-14	-24	-8	-6	-17	-2	-16	-72	-367	-378	-382	-375	-387	-376	-375	-382	-1911	-26	-16	-13	-1910	-375	-86	-15	-22	-18	-16	25
3	-21	-13	-17	5	-19	-11	-19	-11	-15	-20	-13	-6	-15	-1	-18	-79	-407	-414	-414	-406	-414	-409	-413	-409	-2044	-16	-16	-10	-2041	-401	-85	-9	-12	-11	-9	40
2	-7	0	-5	6	-3	2	-5	2	-3	-7	-1	1	-4	2	16	69	352	351	350	351	344	349	348	349	1735	-13	-10	-14	1737	341	66	-10	2	-7	-6	-50
2687	-17009	-15943	-19046	-6780	-23689	-17025	-22380	-15939	-17189	-19453	-17893	-13322	-15952	-4773	-67858	-299193	-1527363	-1539412	-1537599	-1529729	-1530661	-1532011	-1534275	-1528969	-7612909	-1910	-2041	1737	-7612438	-1489600	-295035	509	-20612	-3301	-5009	171910
526	-3326	-3118	-3725	-1326	-4632	-3332	-4374	-3117	-3358	-3803	-3494	-2605	-3121	-935	-13278	-58547	-298870	-301228	-300875	-299335	-299514	-299779	-300219	-299186	-1489691	-375	-401	341	-1489600	-291496	-57741	95	-4041	-649	-982	33605
106	-664	-625	-745	-256	-915	-663	-865	-617	-663	-757	-686	-516	-623	-188	-2629	-11593	-59175	-59647	-59581	-59278	-59314	-59361	-59442	-59255	-295050	-86	-85	66	-295035	-57741	-11454	11	-823	-142	-206	6630
4	-8	-2	-8	5	-4	0	-5	0	0	-10	4	0	-4	0	6	21	116	111	108	108	105	109	114	104	511	-15	-9	-10	509	95	11	-16	-10	-12	-11	-40
11	-43	-54	-57	-7	-51	-45	-53	-38	-33	-52	-29	-36	-47	-19	-180	-805	-4091	-4133	-4132	-4123	-4122	-4117	-4110	-4135	-20604	-22	-12	2	-20612	-4041	-823	-10	-102	-38	-34	430
5	-11	-18	-16	9	-8	-7	-13	-7	-1	-14	0	-8	-12	-5	-27	-126	-631	-643	-644	-649	-650	-643	-636	-660	-3295	-18	-11	-7	-3301	-649	-142	-12	-38	-26	-18	60
5	-15	-16	-20	3	-13	-12	-15	-8	-8	-19	-5	-10	-14	-5	-43	-194	-982	-996	-998	-997	-999	-994	-989	-1004	-5006	-16	-9	-6	-5009	-982	-206	-11	-34	-18	-18	90
-12	84	79	90	32	118	80	112	80	86	94	93	62	76	21	307	1351	6905	6959	6948	6911	6917	6924	6938	6907	34385	5	8	-10	34382	6721	1326	-8	86	12	18	-822
