-36	1218	1450	2160	1964	1573	1692	1046	1851	1910	1855	1853	1500	1605	1353	1939	1726	2055	2229	2074	1481	1517	1369	33	-1084	488	-1640	-242	1957	1813	1960	2036	587	1741	4981	11365	20382	19359	40012	79915	164668	344943	742114	1691733	1691416	4203750	11731751	36755735	126647463	465894628	1782209320	1782209099	1782209077	1782209449	1782209314	1316314228	1189666778	1152911876	1141179584	1136975902	1135284598	1134542626	1133912418	4535697240	18143035638	18142870970	-16080	-17256	7456	6736	-5264	72571471304	0	-16080	-17256	7456	7336	-273504	18142777968	1464	-12472	-3968	5760	-1176	-14528	4535646408	-736	-2736	3168	-1408	-7448	-2680	1133890472	283456840	70866384	17701960	4423272	1116048	-17560	279864	-12128	-12088	-12072	-12088	-12112	-12152	66288	-12128	-101632	-12056	-12064	-194736	-11912	-52440	-428880	-515632	140448	84096	-54144	-602048	362112	140352	293760	-75456	196928	480960	-18560	286848
1218	-64006	-76971	-112248	-104162	-81765	-88822	-55900	-96192	-101459	-95331	-95261	-78048	-85781	-72353	-100484	-90655	-105649	-116304	-107502	-77661	-77826	-77323	-1604	60036	-17533	100548	43087	-45745	21162	14901	7777	87658	144815	205273	348041	805476	864152	1661159	3331128	6406559	11994943	21326065	32046734	32061483	22299810	-124652047	-925664310	-4554384876	-19922507899	-83098226813	-83098216991	-83098213324	-83098231614	-83098222284	-63175692042	-58621308436	-57695690244	-57571009540	-57593315254	-57625381500	-57646716090	-57670068602	-230679051046	-922706527458	-922712934062	848904	895760	-364416	-353744	290608	-3690851090360	40	848952	895656	-364608	-587776	13308696	-922715595888	-64208	645600	212472	-307576	67160	736496	-230680111816	28792	155440	-134720	67232	404560	121800	-57670803288	-14417812352	-3605026920	-900728688	-225166272	-56872808	919000	-14293000	605912	603712	602568	603464	604192	606080	-3430440	605600	5015200	601776	601616	9346544	594816	3047680	21520880	26622224	-7080288	-3405920	3128288	30620736	-18817536	-7482624	-15570496	3380960	-10430272	-24240512	1125824	-15429824
1450	-76971	-93384	-135770	-125988	-98616	-107401	-66444	-116653	-122655	-115479	-115350	-94315	-103142	-86810	-121515	-109251	-128075	-140970	-130423	-93698	-94134	-92574	-1879	72229	-22205	119422	48243	-62403	11253	3669	-4579	91120	145331	190181	305422	742537	813282	1545583	3101859	5895816	10804997	18394826	23991848	24010142	-2465185	-209252830	-1235068830	-5733595562	-24523020302	-101267603655	-101267592215	-101267587978	-101267609786	-101267598522	-76744551222	-71010957004	-69775944248	-69566657010	-69564198616	-69588214458	-69606619438	-69627918140	-278510646338	-1114033667434	-1114039563278	1023672	1082792	-440784	-423712	351112	-4456157472408	128	1023768	1082656	-441008	-675072	16211712	-1114041856672	-78440	781576	257592	-366776	80888	890792	-278511472616	37656	186904	-167000	83968	488536	153304	-69628570624	-17407166056	-4352426808	-1087439224	-271828856	-68651456	1108400	-17249256	737344	734728	733368	734376	735296	737568	-4132352	736968	6100472	732400	732248	11397968	724368	3633176	26100672	32160304	-8587136	-4269600	3712640	37066112	-22707296	-8989984	-18746656	4181184	-12556288	-29408192	1348032	-18560448
2160	-112248	-135770	-199136	-183406	-144250	-155947	-96130	-170647	-178176	-169079	-168772	-137136	-148845	-124841	-177560	-159405	-187656	-206849	-190304	-136000	-137637	-132174	-2772	103736	-35417	167835	58512	-112791	-28887	-40056	-50846	86369	120130	96631	79592	355484	456287	794874	1603964	2762054	4092453	3491618	-11691700	-11664061	-97048215	-492499546	-2177709076	-9122453379	-37316486231	-150917852053	-150917834753	-150917829386	-150917862075	-150917846366	-113601320422	-104478868188	-102301239464	-101808689910	-101711650772	-101699995424	-101703501288	-101712685646	-406850683124	-1627398502824	-1627401264970	1483488	1577072	-649840	-612912	507040	-6509603919880	88	1483560	1576832	-650192	-894560	23969544	-1627401686976	-120152	1140800	376400	-530328	113232	1302344	-406850446280	61320	267344	-254016	123856	705584	229736	-101712903720	-25427898552	-6357719488	-1588368368	-397007040	-100241328	1609088	-25174760	1083640	1079872	1078104	1079808	1081312	1084568	-6012984	1083048	8981440	1076696	1076792	16902816	1064848	5148648	38300096	46852784	-12592224	-6638432	5237440	54178976	-33048704	-13030976	-27169760	6312736	-18213888	-43107136	1904960	-26781696
1964	-104162	-125988	-183406	-170924	-133288	-145153	-90430	-157996	-166384	-155952	-155910	-127869	-139882	-118014	-163873	-147581	-172792	-190437	-176569	-126889	-127220	-126032	-2621	97763	-29662	162455	66870	-81952	19303	9349	-2097	127733	206580	276906	452611	1083314	1179341	2246817	4509871	8601984	15864243	27364574	37355804	37379729	6229193	-264880039	-1638117232	-7705851184	-33132812992	-137147579026	-137147563475	-137147557419	-137147586771	-137147571594	-104014722300	-96308873238	-94670831464	-94405905050	-94412143808	-94449531072	-94476909530	-94508064742	-378030715550	-1512109856008	-1512118458044	1383408	1462448	-594680	-574968	473896	-6048472778504	144	1383560	1462280	-594992	-943848	21831768	-1512121876624	-106712	1053376	345320	-499760	108848	1203632	-378031989528	46880	253240	-226432	111168	658672	204792	-94509027928	-23627327368	-5907710728	-1476034896	-368971952	-93186240	1499232	-23415280	992656	989096	987264	988696	989824	992880	-5614720	992216	8221200	985992	985744	15340152	974464	4953280	35226160	43514048	-11582528	-5640896	5096320	50133376	-30701152	-12151840	-25378848	5599008	-16970112	-39646208	1841792	-25138496
1573	-81765	-98616	-144250	-133288	-105308	-113823	-70599	-123714	-129496	-123087	-122647	-99942	-109064	-91457	-129102	-116201	-136446	-149725	-138249	-99343	-100006	-97314	-2021	76060	-24750	124486	46668	-74336	-4583	-12780	-21234	79765	120185	134270	186898	516181	590039	1095738	2200684	4075323	7105627	10792333	7980481	8000119	-37688647	-292680943	-1453859983	-6378845274	-26644510959	-108834860078	-108834847478	-108834843225	-108834866840	-108834855290	-82190315536	-75811471462	-74357670136	-74064952608	-74027271020	-74035277398	-74046080352	-74060506464	-296241476442	-1184959722092	-1184963797538	1085824	1150352	-471232	-449040	371560	-4739854358400	-32	1085808	1150128	-471544	-678272	17369152	-1184965136192	-83576	830904	274048	-386744	84792	948520	-296241812688	42448	197960	-180088	92176	517056	165512	-74060925632	-18515118648	-4629385816	-1156604392	-289102376	-73003840	1177496	-18338088	787824	785064	783704	784864	785904	788296	-4385440	787416	6523296	782664	782608	12236368	774032	3800104	27842464	34172928	-9148736	-4691808	3880128	39449504	-24125472	-9531328	-19863648	4516896	-13323456	-31381760	1398208	-19622272
1692	-88822	-107401	-155947	-145153	-113823	-124394	-77410	-133900	-141489	-132907	-132637	-108956	-119893	-101199	-140081	-126151	-147270	-161601	-150135	-108492	-108398	-108302	-2179	84197	-23975	141316	62096	-59989	38161	29435	19088	130943	218300	318752	552677	1255850	1338443	2584272	5180365	10003654	18865398	34021185	53274985	53295518	48360527	-138920009	-1219476777	-6202125904	-27458958147	-115134105581	-115134092428	-115134087138	-115134112135	-115134098846	-87675109646	-81472985804	-80253574078	-80114614210	-80162983000	-80216284980	-80250318154	-80286893266	-321145601674	-1284567304262	-1284577308016	1187480	1251320	-505032	-492304	408400	-5138308330408	24	1187520	1251104	-505344	-822688	18551536	-1284581554952	-86208	902136	297280	-425488	96080	1026688	-321147345096	40368	219264	-185952	97600	568280	173152	-80288048880	-20072235464	-5018891312	-1254000864	-313485488	-79184584	1285072	-19902136	847320	844256	842584	843656	844640	847312	-4777024	846968	7000704	841504	841192	13020112	832136	4267824	30012640	37152320	-9873024	-4713248	4377568	42719872	-26259296	-10429664	-21735680	4705120	-14557632	-33860672	1578496	-21574528
1046	-55900	-66444	-96130	-90430	-70599	-77410	-52282	-82518	-88847	-81118	-81845	-68011	-77223	-65836	-86619	-78857	-89710	-98486	-91965	-68320	-66898	-71841	-1503	54220	-10017	98180	57725	-2658	93823	88706	80251	153649	280700	482798	913006	1918487	1971684	3883798	7777054	15326226	29929548	57536111	105810372	105820736	175201225	203021217	-182652129	-2717554800	-14844533712	-67323394010	-67323384635	-67323380247	-67323396181	-67323387344	-52478834902	-49761282464	-49578669890	-49781665734	-49956873960	-50062698754	-50120242962	-50177120214	-200705016416	-802796982132	-802812308364	747752	775672	-306984	-321152	255800	-3211248677872	32	747784	775672	-307040	-686456	10897624	-802819509392	-49728	552448	180496	-284040	61960	633064	-200708351176	10960	142200	-98072	49600	356584	85216	-50178992712	-12545442576	-3137164112	-783984400	-196047304	-49556008	807448	-12474168	503488	501336	500032	500776	501168	502944	-3030456	503280	4164152	499424	498856	7569088	492696	2908584	18181200	23142224	-5986944	-2169280	3056032	26280320	-16426752	-6664736	-13804832	2496768	-9222976	-20479296	1074944	-13844096
1851	-96192	-116653	-170647	-157996	-123714	-133900	-82518	-147460	-153596	-145509	-145499	-118332	-128042	-107243	-152084	-136560	-161313	-177463	-164057	-116957	-118229	-113911	-2423	88932	-30929	143638	48832	-100055	-31760	-41346	-50715	67103	89657	56783	16150	201174	287864	472942	959491	1534877	1834708	-380445	-16875756	-16852923	-97329515	-452191548	-1933767052	-7981834388	-32423902107	-130687665055	-130687650258	-130687645418	-130687672998	-130687659618	-98263723840	-90281890858	-88348192166	-87895958030	-87798636778	-87781791098	-87781422958	-87786165148	-351144813730	-1404576880000	-1404578414950	1273144	1353456	-557360	-526512	434400	-5618312681896	112	1273240	1353208	-557664	-774608	20612224	-1404578361024	-104664	976736	319968	-455248	96672	1119832	-351144404568	49888	229704	-222528	107296	603840	200160	-87786246696	-21946229880	-5487170880	-1370866496	-342639288	-86508384	1382144	-21723592	931008	927760	926200	927664	928824	931616	-5188048	930576	7726904	925016	925008	14535032	914432	4431152	32927360	40299184	-10816672	-5681376	4533888	46641792	-28379552	-11145120	-23324416	5440800	-15606912	-37032832	1643072	-23008000
1910	-101459	-122655	-178176	-166384	-129496	-141489	-88847	-153596	-162570	-151226	-151558	-124649	-136974	-115827	-159425	-143704	-167631	-184718	-171599	-123784	-123741	-124130	-2567	95970	-27282	161575	71454	-68304	42516	32787	21089	148668	249531	364962	632487	1436828	1531332	2953125	5923156	11437989	21568034	38888138	60859935	60882657	55066165	-159772116	-1398107818	-7106614882	-31457122777	-131886809660	-131886794451	-131886788212	-131886816733	-131886801638	-100429643720	-93323031256	-91924997124	-91765179710	-91820255660	-91881145566	-91920047420	-91961862606	-367845193798	-1471363505786	-1471374943826	1350536	1423728	-576240	-563472	462808	-5885498751544	152	1350672	1423568	-576520	-970944	21063432	-1471379806888	-102888	1024264	335096	-491680	107416	1169688	-367847191080	41656	247872	-214864	104904	643688	193592	-91963186536	-22991054104	-5748715328	-1436356536	-359073920	-90699496	1461648	-22796704	960080	956560	954640	955976	957024	960040	-5477480	959648	7949160	953400	953032	14771528	942080	4901416	34153520	42373408	-11240096	-5273536	5051936	48714336	-29921600	-11885280	-24800864	5328480	-16575808	-38446528	1824320	-24619904
