-29	464	602	794	612	715	258	718	690	747	767	738	551	655	662	697	809	841	496	524	641	483	480	390	20	4231	3728	28659	199795	1403019	9817240	68724508	68723924	481067245	3367469438	23572287284	165006010771	1155042076953	1155042077341	1155042077397	1155042077425	1155042077212	1155042077120	1155042077398	1155042077282	1155042077141	1155042077317	1155042077150	5936	1155042077231	5138	3822	7336	5887	7581	165006012437	5446	4060	4963	4557	5936	23572288796	1645	2989	2254	4312	3766	3367472374	481068455	68724929	9821497	1403381	10129	204582	10150	10171	10171	10150	10115	32634	10150	10178	10178	10150	10136	51954	51842	244559	324086	251174	242256
464	-12105	-15953	-20258	-16024	-18896	-6378	-18463	-17893	-18754	-19657	-19012	-13889	-16698	-17249	-17912	-20299	-21810	-12690	-13895	-16227	-12745	-12360	-10541	-513	-107771	-94927	-734805	-5117703	-35941207	-251486303	-1760504370	-1760489339	-12323421195	-86263912471	-603847420817	-4226931938346	-29588523610833	-29588523620114	-29588523620993	-29588523621924	-29588523616690	-29588523613897	-29588523621415	-29588523618654	-29588523615201	-29588523619525	-29588523615453	-151039	-29588523616379	-131740	-96964	-189602	-152726	-193970	-4226931982504	-141589	-101430	-128632	-117593	-151123	-603847458914	-40796	-76349	-58198	-108115	-93534	-86263988671	-12323451175	-1760515561	-251597941	-35950656	-261856	-5243896	-262528	-263088	-263158	-262661	-262010	-835044	-262507	-263088	-263137	-262640	-262234	-1338141	-1335152	-6395333	-8477343	-6558601	-6316688
602	-15953	-21483	-26858	-21305	-24958	-7913	-24855	-23499	-25058	-26083	-25196	-18387	-21796	-22741	-23530	-27104	-28585	-16265	-17773	-20815	-16441	-15851	-13395	-673	-138096	-121713	-942192	-6561923	-46084068	-322457714	-2257332474	-2257313033	-15801185901	-110608255125	-774257828976	-5419804792809	-37938633604699	-37938633616870	-37938633618118	-37938633619527	-37938633612593	-37938633608866	-37938633618689	-37938633614773	-37938633610239	-37938633615882	-37938633610513	-194376	-37938633612348	-169463	-125258	-243453	-196098	-248738	-5419804850495	-181895	-130928	-165102	-151585	-194474	-774257878387	-52885	-97979	-74536	-139307	-120834	-110608353667	-15801224733	-2257347022	-322600915	-46096386	-336126	-6724375	-337120	-337841	-337806	-337113	-336280	-1071189	-337134	-337792	-337806	-337071	-336714	-1718766	-1714902	-8200542	-10860556	-8404872	-8092105
794	-20258	-26858	-34335	-27189	-31819	-10588	-31445	-30169	-31762	-33201	-32068	-23433	-28108	-29047	-30350	-34524	-36696	-21320	-23364	-27312	-21432	-20738	-17644	-824	-180989	-159291	-1232886	-8586795	-60304569	-421960674	-2953893019	-2953867595	-20677066076	-144739402483	-1013175873589	-7092231102410	-49645617788355	-49645617803907	-49645617805474	-49645617807080	-49645617798285	-49645617793420	-49645617806442	-49645617801577	-49645617795733	-49645617802967	-49645617796145	-253939	-49645617797706	-221389	-163142	-318486	-256165	-325815	-7092231176870	-237671	-170597	-215740	-197316	-254065	-1013175937571	-68481	-127974	-97426	-181671	-157556	-144739530292	-20677116572	-2953911688	-422147950	-60320449	-439908	-8798818	-441014	-441931	-442022	-441203	-440069	-1401519	-441028	-441980	-442057	-441182	-440510	-2248274	-2243514	-10746484	-14239694	-11020590	-10614723
612	-16024	-21305	-27189	-22253	-25397	-8225	-25305	-24163	-25225	-26604	-25584	-18565	-22350	-23320	-24409	-27483	-29462	-16976	-18897	-21749	-17192	-16569	-14332	-635	-144535	-126900	-983704	-6849642	-48105850	-336603222	-2356357880	-2356337440	-16494356859	-115460449105	-808223189456	-5657562315371	-39602936265491	-39602936277383	-39602936278520	-39602936279787	-39602936272982	-39602936268906	-39602936279960	-39602936276202	-39602936271398	-39602936277030	-39602936271590	-201754	-39602936272067	-176316	-129269	-254632	-204526	-259840	-5657562375129	-190001	-134673	-172417	-157003	-201915	-808223240020	-53648	-101738	-77805	-143612	-124173	-115460550989	-16494396891	-2356372781	-336753697	-48118553	-351939	-7019950	-352639	-353339	-353430	-352842	-351967	-1117781	-352688	-353437	-353514	-352842	-352359	-1793379	-1789725	-8633016	-11442774	-8853565	-8525363
715	-18896	-24958	-31819	-25397	-30033	-10029	-29145	-28213	-29474	-31001	-29895	-21672	-26388	-27297	-28353	-31948	-34458	-20134	-22297	-25831	-20451	-19625	-16907	-759	-171351	-150780	-1168666	-8137498	-57150376	-399889371	-2799385792	-2799361717	-19595526123	-137168624549	-960180426038	-6721262969404	-47048840854349	-47048840868786	-47048840870157	-47048840871658	-47048840863510	-47048840858761	-47048840871282	-47048840866840	-47048840861228	-47048840867996	-47048840861623	-240030	-47048840862688	-209755	-154189	-302246	-242928	-308413	-6721263040387	-225652	-160510	-204484	-186781	-240212	-960180486090	-63889	-120603	-92113	-170737	-148127	-137168745833	-19595573200	-2799403565	-400067661	-57165353	-417396	-8339478	-418362	-419272	-419384	-418663	-417620	-1327480	-418390	-419279	-419398	-418635	-417907	-2130744	-2126306	-10226300	-13547863	-10484824	-10095176
258	-6378	-7913	-10588	-8225	-10029	-4683	-8696	-9797	-9361	-10194	-10046	-7339	-9663	-9217	-9704	-10056	-12066	-7766	-8789	-9970	-7663	-7402	-6911	-297	-65908	-57832	-448652	-3124099	-21940565	-153520980	-1074708656	-1074699718	-7522897205	-52660257692	-368621824783	-2580352768956	-18062469407090	-18062469412378	-18062469412718	-18062469412840	-18062469410246	-18062469408618	-18062469412916	-18062469411852	-18062469409926	-18062469412418	-18062469410139	-91119	-18062469409572	-80276	-57456	-116256	-92701	-118692	-2580352793711	-86296	-59633	-78659	-69559	-91119	-368621845634	-22771	-45871	-35959	-63406	-55286	-52660302079	-7522912971	-1074715040	-153589443	-21946169	-159831	-3200736	-159901	-160321	-160552	-160391	-159992	-508830	-159922	-160342	-160552	-160405	-159817	-815647	-813792	-3928722	-5229182	-4046371	-3900939
718	-18463	-24855	-31445	-25305	-29145	-8696	-29874	-27501	-29533	-30616	-29402	-21422	-25059	-26595	-27689	-32206	-33373	-18835	-20468	-24074	-19087	-18547	-15292	-717	-160107	-141027	-1091362	-7600923	-53380985	-373515259	-2614755770	-2614733111	-18303123756	-128121813536	-896852744359	-6277969199560	-43945784461561	-43945784475399	-43945784476940	-43945784478708	-43945784470492	-43945784466029	-43945784478059	-43945784473327	-43945784467947	-43945784474435	-43945784468312	-225232	-43945784470273	-195629	-145362	-281484	-227486	-288232	-6277969267199	-210518	-152362	-190925	-176582	-225407	-896852803126	-62258	-113939	-85939	-162638	-140140	-128121928648	-18303170788	-2614772629	-373681217	-53395125	-389732	-7789180	-390894	-391608	-391552	-390733	-389739	-1241079	-390936	-391727	-391636	-390761	-390418	-1990184	-1986166	-9511341	-12587659	-9738162	-9375954
690	-17893	-23499	-30169	-24163	-28213	-9797	-27501	-27036	-27771	-29364	-28387	-20669	-25139	-25857	-27006	-30178	-32821	-19286	-21413	-24743	-19428	-18837	-16340	-719	-164204	-144388	-1118841	-7791045	-54716966	-382862129	-2680188647	-2680165717	-18761154275	-131328024401	-919296222601	-6435073546617	-45045514890983	-45045514904706	-45045514905927	-45045514907201	-45045514899558	-45045514895075	-45045514906993	-45045514902980	-45045514897709	-45045514904165	-45045514898098	-229285	-45045514898671	-200270	-146538	-289240	-232610	-295666	-6435073613388	-215691	-152943	-196035	-178185	-229411	-919296279657	-60914	-115829	-88683	-163219	-141008	-131328139887	-18761199135	-2680205493	-383033063	-54731243	-399574	-7984004	-400407	-401247	-401422	-400743	-399749	-1270976	-400414	-401310	-401450	-400736	-399994	-2037707	-2033500	-9790445	-12986176	-10046764	-9676961
747	-18754	-25058	-31762	-25225	-29474	-9361	-29533	-27771	-29788	-30844	-29673	-21694	-25758	-26925	-27997	-32220	-33838	-19353	-21091	-24777	-19551	-18915	-15838	-758	-164532	-144908	-1121217	-7809133	-54842933	-383744958	-2686367503	-2686344342	-18804403208	-131630768022	-921415427131	-6449907978428	-45149355914655	-45149355928903	-45149355930449	-45149355932046	-45149355923853	-45149355919413	-45149355931340	-45149355926712	-45149355921295	-45149355927916	-45149355921633	-231231	-45149355923532	-201299	-149044	-289303	-233142	-296023	-6449908047086	-216146	-155981	-196007	-180369	-231343	-921415486390	-63147	-116578	-88375	-166110	-143843	-131630885281	-18804450175	-2686384715	-383915196	-54857474	-399903	-8002015	-400974	-401793	-401793	-401002	-399966	-1274756	-401009	-401849	-401863	-401009	-400498	-2043622	-2039282	-9758546	-12920222	-9998695	-9628206
