-338	-295	-243	-207	-192	-10	60	-120	58	72	-5	-46	85	29	-25	-65	-61	-122	-3	-408	-1174	-1222	-3765	-10654	-32480	-97715	-97781	-97817	-97769	-97769	-97774	-97740	-97723	-97817	-292772	-878472	93	-213	561	165	-292383	456	-486	7773	3612	-78177	-13179	8127	15672	15324	-168	1524	1080	1884	-324	1608	852	-828	-1764	4968	13716
-295	-774	-666	-510	716	-1356	-776	-1610	-767	-985	-1364	-1734	-1357	-1320	-958	-1241	-942	-1139	-111	1958	2444	3401	9896	27971	80103	241791	241988	242024	242176	242021	241926	242349	241878	242324	730728	2193345	-519	1164	-7092	-3771	724899	-6933	-2127	-11046	-10191	200166	40779	-15135	-34896	-35208	180	-3672	5628	8232	7116	-43416	-24372	-38952	-98064	-28152	-165348
-243	-666	-784	-452	548	-1115	-668	-1422	-794	-983	-1268	-1615	-1249	-1185	-832	-1227	-881	-992	-126	1577	1758	2611	7433	20886	59085	178538	178778	178837	178845	178653	178718	179086	178692	179055	540546	1622823	-240	1050	-6750	-3606	535053	-6564	-2706	-8415	-11913	135198	17970	-23760	-38592	-34824	-3492	-3648	4548	7284	5472	-37068	-19644	-33084	-86832	-24048	-144828
-207	-510	-452	-484	693	-1126	-805	-1375	-784	-983	-1163	-1511	-1183	-1303	-803	-1221	-945	-1005	-80	1899	2474	3467	10126	28568	82534	248593	248808	248902	249113	248954	248773	249126	248630	249264	751495	2255439	-423	1194	-6777	-3672	745695	-6588	-1917	-12786	-10674	204231	39789	-17310	-37566	-37488	216	-4164	4572	7512	5976	-39216	-21336	-35424	-91260	-25056	-146772
-192	716	548	693	-2452	3190	2198	3554	2058	2595	3138	3886	3272	3478	2191	2948	2282	2494	192	-6284	-9948	-12574	-37574	-106184	-311135	-937276	-937897	-938147	-938599	-938281	-937740	-938668	-937356	-939025	-2825048	-8478168	1755	-3696	19023	9855	-2809152	18420	3057	51348	31476	-787068	-166317	45966	121152	127020	-5352	13656	-10728	-15852	-18972	113496	63708	96516	244080	83124	449280
-10	-1356	-1115	-1126	3190	-4636	-2892	-5113	-2683	-3402	-4422	-5398	-4505	-4650	-3123	-3977	-3042	-3634	-274	8257	12677	16110	48023	135777	396391	1194734	1195490	1195709	1196260	1195937	1195181	1196568	1194832	1196811	3601663	10809123	-2463	4800	-25176	-12900	3580872	-24444	-4245	-60831	-36594	1016673	226143	-45321	-141360	-152928	8532	-16932	16524	23232	26352	-156960	-89760	-135432	-336852	-114516	-617760
60	-776	-668	-805	2198	-2892	-2346	-3398	-2290	-2859	-3046	-4082	-3319	-3607	-2044	-3223	-2471	-2408	-212	5848	8715	11584	34219	96549	282309	849745	850500	850868	851380	850889	850443	851299	849870	851923	2564533	7696437	-1182	3693	-19584	-10272	2547822	-18819	-4584	-49125	-37230	688350	125334	-67638	-136146	-133440	-1176	-14784	9504	16140	15828	-106248	-56196	-91332	-240804	-75888	-417636
-120	-1610	-1422	-1375	3554	-5113	-3398	-5894	-3291	-4148	-5137	-6399	-5224	-5507	-3558	-4872	-3737	-4170	-341	9303	13841	17964	53331	150636	439002	1322920	1323905	1324251	1324888	1324352	1323621	1325165	1323118	1325594	3990436	11976078	-2475	5592	-29937	-15606	3965472	-29046	-6264	-69384	-47556	1105713	230445	-70689	-177366	-183684	5016	-20088	18516	27780	29112	-178236	-99360	-154404	-391968	-126396	-699408
58	-767	-794	-784	2058	-2683	-2290	-3291	-2422	-2967	-3037	-4141	-3319	-3567	-1981	-3325	-2542	-2324	-234	5566	8040	10920	32023	90332	263494	793117	793964	794375	794797	794195	793930	794733	793337	795421	2395061	7188057	-879	3654	-19698	-10380	2378250	-18885	-5355	-48057	-40737	624768	99537	-80982	-145098	-136980	-4764	-15120	8868	16020	14520	-101688	-51780	-87372	-235476	-71172	-400140
72	-985	-983	-983	2595	-3402	-2859	-4148	-2967	-3734	-3825	-5218	-4148	-4492	-2502	-4156	-3169	-2965	-301	6997	10061	13682	40186	113340	330484	994816	995872	996367	996898	996173	995806	996861	995088	997665	3004067	9015822	-1167	4560	-24771	-12945	2982969	-23751	-6741	-59568	-50775	785019	126285	-100221	-180678	-170784	-6012	-18936	11316	20160	18384	-129192	-66156	-111060	-297432	-91188	-509220
-5	-1364	-1268	-1163	3138	-4422	-3046	-5137	-3037	-3825	-4632	-5813	-4712	-4948	-3200	-4413	-3389	-3661	-319	8244	12207	15951	47162	133146	387818	1168815	1169785	1170142	1170627	1170070	1169562	1170899	1169061	1171351	3526171	10582878	-2028	5073	-27066	-14205	3503661	-26166	-6018	-63678	-45984	964272	191202	-74952	-169302	-171108	2184	-18660	16044	24204	25608	-156672	-85968	-134892	-347688	-110952	-618408
-46	-1734	-1615	-1511	3886	-5398	-4082	-6399	-4141	-5218	-5813	-7728	-6120	-6503	-3917	-5927	-4536	-4605	-437	10392	14970	20080	59106	166827	485732	1463042	1464426	1465001	1465741	1464836	1464249	1465929	1463396	1466784	4416542	13255107	-2136	6597	-35649	-18534	4386573	-34287	-8988	-82785	-66354	1180956	212841	-120597	-238878	-232716	-3372	-25980	18972	30852	29712	-196608	-104172	-169776	-444924	-138888	-774036
85	-1357	-1249	-1183	3272	-4505	-3319	-5224	-3319	-4148	-4712	-6120	-5068	-5232	-3171	-4679	-3556	-3646	-347	8656	12951	17018	50246	141868	414149	1247395	1248495	1248943	1249542	1248846	1248334	1249668	1247663	1250326	3763528	11295048	-1884	5352	-28884	-15051	3739260	-27828	-6753	-71034	-54150	1012461	186780	-96795	-197328	-193920	-1308	-20928	15048	24096	24768	-160608	-86496	-137520	-357696	-115344	-633852
29	-1320	-1185	-1303	3478	-4650	-3607	-5507	-3567	-4492	-4948	-6503	-5232	-5710	-3345	-5110	-3937	-3933	-347	9219	13586	18054	53344	150480	439228	1322539	1323730	1324257	1324986	1324234	1323576	1324997	1322781	1325829	3991517	11979177	-1974	5808	-31017	-16323	3965211	-29883	-7389	-75153	-57270	1074567	198795	-101979	-208758	-205440	-1200	-22596	16008	26568	26160	-171024	-91224	-147456	-386676	-120636	-671868
-25	-958	-832	-803	2191	-3123	-2044	-3558	-1981	-2502	-3200	-3917	-3171	-3345	-2292	-2928	-2281	-2576	-201	5702	8516	10994	32553	91937	267682	807107	807708	807912	808233	807925	807529	808464	807247	808694	2434294	7305876	-1584	3453	-18057	-9570	2419395	-17496	-3537	-42804	-27867	677649	143985	-39804	-104928	-110052	4572	-12048	11880	16884	18852	-108708	-60864	-93708	-239436	-76608	-428544
-65	-1241	-1227	-1221	2948	-3977	-3223	-4872	-3325	-4156	-4413	-5927	-4679	-5110	-2928	-4762	-3637	-3497	-336	7938	11286	15335	45072	127115	370120	1114364	1115481	1116010	1116629	1115853	1115401	1116634	1114648	1117459	3365281	10099971	-1446	5145	-28023	-14745	3341442	-26967	-7602	-64539	-54312	888336	150642	-103395	-193626	-185316	-5112	-20592	13896	24216	21864	-149376	-77496	-129384	-344088	-103644	-586224
-61	-942	-881	-945	2282	-3042	-2471	-3737	-2542	-3169	-3389	-4536	-3556	-3937	-2281	-3637	-2836	-2706	-244	6131	8714	11834	34762	98078	285524	859709	860573	860977	861474	860881	860503	861446	859919	862099	2596329	7792110	-1164	3972	-21360	-11352	2578140	-20553	-5586	-50271	-40854	688551	119400	-76611	-146208	-140892	-2340	-15672	11016	18972	17244	-114828	-59700	-99792	-265392	-78192	-447012
-122	-1139	-992	-1005	2494	-3634	-2408	-4170	-2324	-2965	-3661	-4605	-3646	-3933	-2576	-3497	-2706	-3110	-232	6564	9551	12518	37066	104778	304675	918277	918980	919211	919660	919320	918746	919901	918402	920196	2770709	8315493	-1800	4005	-21033	-10749	2753241	-20367	-4287	-46848	-31347	773628	166266	-43197	-117342	-123696	4812	-14568	13896	20448	20652	-128376	-71568	-112356	-282960	-91224	-501120
-3	-111	-126	-80	192	-274	-212	-341	-234	-301	-319	-437	-347	-347	-201	-336	-244	-232	-34	520	714	985	2882	8109	23522	70865	70948	70982	71007	70940	70944	71034	70904	71070	214044	642456	-72	336	-2034	-1062	212346	-1956	-696	-4305	-4566	53187	6363	-9840	-15606	-13992	-1188	-1428	864	1584	1404	-10188	-5136	-8640	-23292	-7200	-40932
-408	1958	1577	1899	-6284	8257	5848	9303	5566	6997	8244	10392	8656	9219	5702	7938	6131	6564	520	-16274	-25371	-32417	-96597	-272970	-799176	-2407175	-2408901	-2409611	-2410803	-2409874	-2408519	-2410945	-2407423	-2412010	-7257583	-21780630	4275	-9720	50337	26040	-7215387	48645	8907	132780	85410	-2008665	-414429	131271	324570	335568	-10620	36588	-27876	-42240	-48084	295368	163824	252180	642240	215172	1166184
