27018	61197	67506	-24804	-435302	-390265	-427215	-389011	-397955	-414665	-397137	-362667	-390609	-338574	-1672215	-8220767	-41221332	-41288381	-41279932	-41233805	-41245276	-41248032	-41259875	-41235957	-206030095	-22120	-19625	4645	-41083855	-8161215	-1483265	-5495	-111505	-25755	-31190	859400
27036	61245	67556	-24803	-435477	-390399	-427376	-389150	-398128	-414810	-397310	-362775	-390747	-338671	-1672701	-8223118	-41233199	-41300259	-41291797	-41245614	-41257114	-41259875	-41271766	-41247772	-206089085	-22115	-19645	4640	-41095555	-8163515	-1483630	-5470	-111470	-25720	-31165	859750
26983	61159	67442	-24805	-435153	-390163	-427086	-388898	-397822	-414552	-397003	-362585	-390512	-338476	-1671722	-8218368	-41209245	-41276280	-41267844	-41221764	-41233229	-41235957	-41247772	-41223936	-205970080	-22155	-19640	4635	-41071940	-8158885	-1482890	-5510	-111555	-25810	-31225	859050
26962	61118	67394	-24788	-434843	-389887	-426782	-388624	-397536	-414264	-396711	-362322	-390242	-338241	-1670501	-8212408	-41179321	-41246310	-41237884	-41191842	-41203299	-41206019	-41217817	-41194016	-205820638	-22155	-19636	4627	-41042185	-8152995	-1481874	-5521	-111492	-25811	-31214	858285
1	12	7	-2	-55	-47	-57	-46	-52	-62	-46	-44	-55	-40	-177	-883	-4415	-4426	-4430	-4423	-4435	-4424	-4423	-4431	-22155	-26	-16	-13	-4430	-891	-182	-15	-22	-18	-16	25
4	14	10	-1	-52	-44	-52	-44	-48	-53	-46	-39	-48	-35	-158	-783	-3923	-3930	-3930	-3922	-3930	-3925	-3929	-3928	-19636	-16	-16	-10	-3921	-785	-153	-9	-12	-11	-9	40
2	6	2	2	1	6	-1	6	1	-3	3	5	0	6	39	185	932	931	930	931	924	929	928	927	4627	-13	-10	-14	921	181	26	-10	2	-7	-6	-50
5374	12186	13435	-4945	-86709	-77749	-85104	-77499	-79265	-82613	-79097	-72250	-77824	-67456	-333103	-1637619	-8211439	-8224800	-8223123	-8213953	-8216233	-8216771	-8219111	-8214388	-41042185	-4430	-3921	921	-8184166	-1625796	-295551	-1115	-22256	-5169	-6237	171030
1064	2420	2665	-983	-17225	-15449	-16907	-15398	-15747	-16416	-15711	-14354	-15466	-13404	-66169	-325311	-1631182	-1633836	-1633507	-1631687	-1632142	-1632243	-1632703	-1631777	-8152995	-891	-785	181	-1625796	-322984	-58737	-229	-4433	-1037	-1246	33905
191	443	485	-180	-3133	-2813	-3075	-2803	-2865	-2999	-2844	-2606	-2825	-2449	-12016	-59131	-296451	-296939	-296885	-296558	-296642	-296653	-296726	-296578	-1481874	-182	-153	26	-295551	-58737	-10750	-61	-827	-210	-242	5990
3	5	4	0	-13	-9	-14	-9	-9	-19	-5	-9	-13	-12	-42	-221	-1092	-1097	-1100	-1100	-1103	-1099	-1094	-1102	-5521	-15	-9	-10	-1115	-229	-61	-16	-10	-12	-11	-40
-2	15	11	-19	-212	-206	-214	-199	-194	-213	-190	-197	-208	-181	-902	-4448	-22275	-22317	-22316	-22307	-22306	-22301	-22294	-22311	-111492	-22	-12	2	-22256	-4433	-827	-10	-102	-38	-34	430
-2	5	-2	-5	-51	-50	-56	-50	-44	-57	-43	-51	-55	-44	-206	-1030	-5139	-5151	-5152	-5157	-5158	-5151	-5144	-5162	-25811	-18	-11	-7	-5169	-1037	-210	-12	-38	-26	-18	60
0	6	4	-5	-60	-59	-62	-55	-55	-66	-52	-57	-61	-52	-251	-1245	-6226	-6240	-6242	-6241	-6243	-6238	-6233	-6245	-31214	-16	-9	-6	-6237	-1246	-242	-11	-34	-18	-18	90
-19	-44	-50	21	360	322	354	322	328	336	335	304	318	275	1398	6848	34357	34411	34400	34363	34369	34376	34390	34362	171657	5	8	-10	34206	6781	1198	-8	86	12	18	-822
